"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
;"DateAndPersonAssignment to IndividualPartTestResult (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to IndividualPartVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to IndividualPartVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to IndividualPartView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to IndividualPartViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to InformationUsageRight (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to InformationUsageRightAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to MaterialIdentification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to MaterialPropertyAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ModelPropertyAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Occurrence (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to OccurrenceRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Organization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to OrganizationRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Part (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PartRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PartToIndividualPartAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PartVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PartVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PartVersionToIndividualPartVersionAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PartView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PartViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PartViewToIndividualPartViewAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Person (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PersonInOrganization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to PersonInOrganizationRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ProcessOperationDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ProcessOperationOccurrence (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ProcessOperationResourceAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ProcessPlan (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ProductConcept (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ProductConfiguration (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to Project (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DateAndPersonAssignment to ProjectAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
