"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
;"DocumentAssignment to EffectivityRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to EventAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ExternalClass (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ExternalItem (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ExternalOwlClass (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ExternalPropertyDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to FileRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to FrozenAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Identifier (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to IdentifierRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to InZone (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to IndividualAssemblyRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to IndividualPart (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to IndividualPartTestResult (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to IndividualPartVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to IndividualPartVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to IndividualPartView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to IndividualPartViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to InformationRight (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to InformationUsageRight (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to InformationUsageRightAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to InformationUsageRightRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to MaterialIdentification (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to MaterialPropertyAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ModelPropertyAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Occurrence (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to OccurrenceRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Organization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to OrganizationRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Part (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PartRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PartToIndividualPartAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PartVersion (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PartVersionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PartVersionToIndividualPartVersionAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PartView (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PartViewRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PartViewToIndividualPartViewAssociation (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Person (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PersonInOrganization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ProcessOperationOccurrence (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ProcessOperationResourceAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ProcessPlan (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ProductConcept (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ProductConfiguration (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to Project (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ProjectAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to ProjectRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PropertyDefinition (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PropertyDefinitionAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PropertyDefinitionRelationship (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PropertyDefinitionString (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PropertyValue (as assignedTo)";"NO MAPPING PROVIDED";;;
;"DocumentAssignment to PropertyValueAssignment (as assignedTo)";"NO MAPPING PROVIDED";;;
