"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"IndividualPartView to DescriptorSet (as description)";"";"";"";""
"";"IndividualPartView to LocalizedString (as description)";"";"";"";""
"";"IndividualPartView to TranslatedStringSet (as description)";"";"";"";""
"";"IndividualPartView to Identifier (as id)";"";"";"";""
"";"IndividualPartView to IdentifierSet (as id)";"";"";"";""
"";"IndividualPartView to IdentifierString (as id)";"";"";"";""
"";"IndividualPartView to ViewContext (as initialContext)";"";"";"";""
"";"IndividualPartView to ExternalItem (as sameAs)";"";"";"";""
"";"IndividualPartView to ExternalOwlObject (as sameAs)";"";"";"";""
"";"IndividualPartView to Proxy (as sameAs)";"";"";"";""
"";"IndividualPartView to ProxyString (as sameAs)";"";"";"";""
"IndividualPartViewRelationship";"";"";"";"";""
"";"IndividualPartViewRelationship to Classification (as classifiedAs)";"";"";"";""
"";"IndividualPartViewRelationship to CharacterString (as description)";"";"";"";""
"";"IndividualPartViewRelationship to Descriptor (as description)";"";"";"";""
"";"IndividualPartViewRelationship to DescriptorSet (as description)";"";"";"";""
"";"IndividualPartViewRelationship to LocalizedString (as description)";"";"";"";""
"";"IndividualPartViewRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"IndividualPartViewRelationship to Identifier (as id)";"";"";"";""
"";"IndividualPartViewRelationship to IdentifierSet (as id)";"";"";"";""
"";"IndividualPartViewRelationship to IdentifierString (as id)";"";"";"";""
"";"IndividualPartViewRelationship to IndividualPartView (as related)";"";"";"";""
"";"IndividualPartViewRelationship to IndividualPartView (as relating)";"";"";"";""
"";"IndividualPartViewRelationship to Class (as relationType)";"";"";"";""
"";"IndividualPartViewRelationship to ClassString (as relationType)";"";"";"";""
"";"IndividualPartViewRelationship to ExternalClass (as relationType)";"";"";"";""
"";"IndividualPartViewRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"PartToIndividualPartAssociation";"";"";"";"";""
"";"PartToIndividualPartAssociation to IndividualPart (as associatedInduvidualPart)";"";"";"";""
"";"PartToIndividualPartAssociation to Part (as associatedPart)";"";"";"";""
"";"PartToIndividualPartAssociation to Classification (as classifiedAs)";"";"";"";""
"";"PartToIndividualPartAssociation to CharacterString (as description)";"";"";"";""
"";"PartToIndividualPartAssociation to Descriptor (as description)";"";"";"";""
"";"PartToIndividualPartAssociation to DescriptorSet (as description)";"";"";"";""
"";"PartToIndividualPartAssociation to LocalizedString (as description)";"";"";"";""
