"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"EffectivityAssignment to GeometricRepresentation (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to Identifier (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to IdentifierRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to IdentifierSet (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to IdentifierString (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to InZone (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to IndividualAssemblyRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to IndividualPart (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to IndividualPartRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to IndividualPartVersion (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to IndividualPartVersionRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to IndividualPartView (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to IndividualPartViewRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to InformationUsageRightAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to InformationUsageRightRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to LinkMotionDecompositionRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to LinkMotionRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to MatedPartRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to MaterialPropertyAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ModelPropertyAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to Occurrence (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to OccurrenceRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to OrganizationRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to Part (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PartRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PartToIndividualPartAssociation (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PartVersion (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PartVersionRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PartVersionToIndividualPartVersionAssociation (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PartView (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PartViewRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PartViewToIndividualPartViewAssociation (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PersonInOrganization (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PersonInOrganizationRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProcessOperationDefinition (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProcessOperationDefinitionRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProcessOperationOccurrence (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProcessOperationOccurrenceRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProcessOperationResourceAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProcessPlan (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProcessPlanRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProductClass (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProductClassRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProductConfiguration (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProductConfigurationRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProductDesignAssociation (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProjectAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProjectRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PropertyDefinition (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PropertyDefinitionAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PropertyDefinitionAssignmentRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PropertyDefinitionRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PropertyDefinitionString (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PropertyValue (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PropertyValueAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PropertyValueAssignmentRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to PropertyValueRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to Proxy (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProxyRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ProxyString (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to Requirement (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to RequirementAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to RequirementRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to RequirementSource (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to RequirementVersion (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to RequirementVersionRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to RequirementView (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to RequirementViewRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to SecurityClassification (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to SecurityClassificationAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ShapeElementRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to Specification (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to SpecificationAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to SpecificationCategory (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to SpecificationConditionAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to SpecificationInclusion (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to SpecificationInclusionAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to StyledModel (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to SuppliedObjectRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to TimeIntervalAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to TimeIntervalRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to ViewOccurrenceRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to WorkOrder (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to WorkOrderAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to WorkOrderRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to WorkRequestAssignment (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to WorkRequestRelationship (as assignedTo)";"";"";"";""
"";"EffectivityAssignment to Classification (as classifiedAs)";"";"";"";""
"";"EffectivityAssignment to CharacterString (as description)";"";"";"";""
"";"EffectivityAssignment to Descriptor (as description)";"";"";"";""
"";"EffectivityAssignment to DescriptorSet (as description)";"";"";"";""
"";"EffectivityAssignment to LocalizedString (as description)";"";"";"";""
"";"EffectivityAssignment to TranslatedStringSet (as description)";"";"";"";""
"";"effectivityIndication";"";"";"";""
"";"EffectivityAssignment to Identifier (as id)";"";"";"";""
"";"EffectivityAssignment to IdentifierSet (as id)";"";"";"";""
"";"EffectivityAssignment to IdentifierString (as id)";"";"";"";""
"";"EffectivityAssignment to Class (as role)";"";"";"";""
"";"EffectivityAssignment to ClassString (as role)";"";"";"";""
"";"EffectivityAssignment to ExternalClass (as role)";"";"";"";""
"";"EffectivityAssignment to ExternalOwlClass (as role)";"";"";"";""
"EffectivityRelationship";"";"";"";"";""
"";"EffectivityRelationship to Classification (as classifiedAs)";"";"";"";""
"";"EffectivityRelationship to CharacterString (as description)";"";"";"";""
"";"EffectivityRelationship to Descriptor (as description)";"";"";"";""
"";"EffectivityRelationship to DescriptorSet (as description)";"";"";"";""
"";"EffectivityRelationship to LocalizedString (as description)";"";"";"";""
"";"EffectivityRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"EffectivityRelationship to Identifier (as id)";"";"";"";""
"";"EffectivityRelationship to IdentifierSet (as id)";"";"";"";""
"";"EffectivityRelationship to IdentifierString (as id)";"";"";"";""
"";"EffectivityRelationship to Effectivity (as related)";"";"";"";""
"";"EffectivityRelationship to Effectivity (as relating)";"";"";"";""
"";"EffectivityRelationship to Class (as relationType)";"";"";"";""
"";"EffectivityRelationship to ClassString (as relationType)";"";"";"";""
"";"EffectivityRelationship to ExternalClass (as relationType)";"";"";"";""
"";"EffectivityRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"LotEffectivity";"";"";"";"";""
"";"LotEffectivity to ValueWithUnit (as lotSize)";"";"";"";""
"SerialEffectivity";"";"";"";"";""
"";"SerialEffectivity to Identifier (as endNumber)";"";"";"";""
"";"SerialEffectivity to IdentifierSet (as endNumber)";"";"";"";""
"";"SerialEffectivity to IdentifierString (as endNumber)";"";"";"";""
"";"SerialEffectivity to Identifier (as startNumber)";"";"";"";""
"";"SerialEffectivity to IdentifierSet (as startNumber)";"";"";"";""
"";"SerialEffectivity to IdentifierString (as startNumber)";"";"";"";""
"TimeIntervalEffectivity";"";"";"";"";""
"";"TimeIntervalEffectivity to Duration (as effectivityPeriod)";"";"";"";""
