"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
;"WorkRequest to BreakdownElementVersion (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to BreakdownElementVersionRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to BreakdownElementView (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to BreakdownElementViewRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to BreakdownVersion (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to BreakdownVersionAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to BreakdownVersionRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to CertificationAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Class (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ClassString (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Condition (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ConditionAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ConditionalConfiguration (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ConfiguredAssemblyEffectivity (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Contract (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ContractAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to DateAndPersonAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to DateTimeAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Document (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to DocumentAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to DocumentDefinition (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to DocumentDefinitionRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to DocumentVersion (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to DocumentVersionRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Effectivity (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to EffectivityAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to Event (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to EventAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ExternalClass (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to ExternalOwlClass (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to File (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to FrozenAssignment (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to GeometricRepresentation (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to IndividualAssemblyRelationship (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to IndividualPart (as scope)";"NO MAPPING PROVIDED";;;
;"WorkRequest to IndividualPartVersion (as scope)";"NO MAPPING PROVIDED";;;
