BO;Attribute;ARM Element;Source;Rules;Reference path
;RequirementAssignment to WorkRequest (as assignedTo);NO MAPPING;;;
;RequirementAssignment to Classification (as classifiedAs);PATH;;;"Requirement_assignment
/classifiedAs_AS_Classification(Requirement_assignment)/"
;RequirementAssignment to CharacterString (as description);Requirement_assignment.description;442;;
;RequirementAssignment to Descriptor (as description);PATH;;;"Requirement_assignment
/description_AS_Descriptor(Requirement_assignment)/"
;RequirementAssignment to DescriptorSet (as description);PATH;;;"Requirement_assignment
/description_AS_DescriptorSet(Requirement_assignment)/"
;RequirementAssignment to LocalizedString (as description);PATH;;;"Requirement_assignment
/description_AS_LocalizedString(Requirement_assignment)/"
;RequirementAssignment to TranslatedStringSet (as description);PATH;;;"Requirement_assignment
/description_AS_TranslatedStringSet(Requirement_assignment)/"
;RequirementAssignment to Identifier (as id);PATH;;;"Requirement <=
Requirement_assignment
/id_AS_Identifier(Requirement_assignment)/"
;RequirementAssignment to IdentifierSet (as id);PATH;;;"Requirement_assignment
/id_AS_IdentifierSet(Requirement_assignment)/"
;RequirementAssignment to IdentifierString (as id);Requirement_assignment.id;442;;
RequirementCollectionRelationship;;Requirement_collection_relationship;442;;"Requirement_collection_relationship <= 
Requirement_view_definition_relationship <=
View_definition_relationship
{View_definition_relationship.relation_type = 'collection'}"
;RequirementCollectionRelationship to ClassString (as relationType);View_definition_relationship.relation_type;;;"Requirement_collection_relationship <= 
Requirement_view_definition_relationship <= 
View_definition_relationship
View_definition_relationship.relation_type"
RequirementDecompositionRelationship;;Requirement_collection_relationship;442;;"Requirement_collection_relationship <= 
Requirement_view_definition_relationship <= 
View_definition_relationship
{View_definition_relationship.relation_type = 'decomposition'}"
;RequirementDecompositionRelationship to ClassString (as relationType);View_definition_relationship.relation_type;;;"Requirement_collection_relationship <= 
Requirement_view_definition_relationship <= 
View_definition_relationship
View_definition_relationship.relation_type"
RequirementRelationship;;NO MAPPING;;;
;RequirementRelationship to Classification (as classifiedAs);NO MAPPING;;;
;RequirementRelationship to CharacterString (as description);NO MAPPING;;;
;RequirementRelationship to Descriptor (as description);NO MAPPING;;;
;RequirementRelationship to DescriptorSet (as description);NO MAPPING;;;
;RequirementRelationship to LocalizedString (as description);NO MAPPING;;;
;RequirementRelationship to TranslatedStringSet (as description);NO MAPPING;;;
;RequirementRelationship to Identifier (as id);NO MAPPING;;;
;RequirementRelationship to IdentifierSet (as id);NO MAPPING;;;
;RequirementRelationship to IdentifierString (as id);NO MAPPING;;;
;RequirementRelationship to Requirement (as related);NO MAPPING;;;
;RequirementRelationship to Requirement (as relating);NO MAPPING;;;
;RequirementRelationship to Class (as relationType);NO MAPPING;;;
;RequirementRelationship to ClassString (as relationType);NO MAPPING;;;
;RequirementRelationship to ExternalClass (as relationType);NO MAPPING;;;
;RequirementRelationship to ExternalOwlClass (as relationType);NO MAPPING;;;
RequirementSatisfactionAssertion;;Requirement_satisfied_by;442;;
;RequirementSatisfactionAssertion to DateAndPersonOrganization (as assertedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to Classification (as classifiedAs);PATH;;;"Requirement_satisfied_by
/classifiedAs_AS_Classification(Requirement_satisfied_by)/"
;RequirementSatisfactionAssertion to CharacterString (as description);Requirement_satisfied_by.description;442;;
;RequirementSatisfactionAssertion to Descriptor (as description);PATH;;;"Requirement_satisfied_by
/description_AS_Descriptor(Requirement_satisfied_by)/"
;RequirementSatisfactionAssertion to DescriptorSet (as description);PATH;;;"Requirement_satisfied_by
/description_AS_DescriptorSet(Requirement_satisfied_by)/"
;RequirementSatisfactionAssertion to LocalizedString (as description);PATH;;;"Requirement_satisfied_by
/description_AS_LocalizedString(Requirement_satisfied_by)/"
;RequirementSatisfactionAssertion to TranslatedStringSet (as description);PATH;;;"Requirement_satisfied_by
/description_AS_TranslatedStringSet(Requirement_satisfied_by)/"
;RequirementSatisfactionAssertion to Identifier (as id);PATH;;;"Requirement_satisfied_by
/id_AS_Identifier(Requirement_satisfied_by)/"
;RequirementSatisfactionAssertion to IdentifierSet (as id);PATH;;;"Requirement_satisfied_by
/id_AS_IdentifierSet(Requirement_satisfied_by)/"
;RequirementSatisfactionAssertion to IdentifierString (as id);Requirement_satisfied_by.id;442;;
;RequirementSatisfactionAssertion to RequirementAssignment (as relatedAssignment);PATH;;;"Requirement_satisfied_by
Requirement_satisfied_by.related_assignment -> 
Requirement_assignment"
;RequirementSatisfactionAssertion to ActivityMethod (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to ActivityMethodAssignment (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to AlternatePartRelationship (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to AlternativeSolution (as satisfiedBy);NO MAPPING;;;
;RequirementSatisfactionAssertion to AssemblyOccurrenceRelationship (as satisfiedBy);NO MAPPING;;;
