BO;Attribute;ARM Element;Source;Rules;Reference path;;
ContentProperty;;Assigned_document_property;;;"{[Assigned_document_property.described_element ->
(document_property_item = Document_definition)
(document_property_item = File)]
[Assigned_document_property <=
Assigned_property.description = 'content property']}";;
;ContentProperty to CharacterString (as description);NO MAPPING;;;;;
;ContentProperty to Descriptor (as description);NO MAPPING;;;;;
;ContentProperty to DescriptorSet (as description);NO MAPPING;;;;;
;ContentProperty to LocalizedString (as description);NO MAPPING;;;;;
;ContentProperty to TranslatedStringSet (as description);NO MAPPING;;;;;
;ContentProperty to CharacterString (as detailLevel);NO MAPPING;;;;;
;ContentProperty to Descriptor (as detailLevel);NO MAPPING;;;;;
;ContentProperty to DescriptorSet (as detailLevel);NO MAPPING;;;;;
;ContentProperty to LocalizedString (as detailLevel);NO MAPPING;;;;;
;ContentProperty to TranslatedStringSet (as detailLevel);NO MAPPING;;;;;
;ContentProperty to Classification (as geometryTypes);NO MAPPING;;;;;
;ContentProperty to Language (as languages);NO MAPPING;;;;;
;ContentProperty to NumericalValue (as realWorldScale);;;;"Assigned_document_property <=
Assigned_property <-
Property_representation.definition
Property_representation <=
Property_definition_representation
Property_definition_representation.used_representation ->
Representation =>
{[Representation.name = 'real world scale']
[Representation =>
Document_property_representation]}
Document_property_representation
Document_property_representation.items[1] ->
descriptive_or_numerical = numerical_document_property
numerical_document_property <=
numerical_item_with_unit";;
CreationProperty;;Assigned_document_property;;;"{[Assigned_document_property.described_element ->
(document_property_item = Document_definition)
(document_property_item = File)]
[Assigned_document_property <=
Assigned_property.description = 'creation property']}
(Assigned_property.id = ' creating system')
(Assigned_property.id = ' creating interface')";;
;CreationProperty to CharacterString (as creatingInterface);;;;"Assigned_document_property <=
Assigned_property <-
Property_representation.definition
Property_representation <=
Property_definition_representation
Property_definition_representation.used_representation ->
Representation =>
Document_property_representation
Document_property_representation.items[i] ->
descriptive_or_numerical = descriptive_document_property
descriptive_document_property <=
{string_representation_item <=
representation_item.name = 'creating interface'}
string_representation_item.string_value"
;CreationProperty to CharacterString (as creatingSystem);;;;"Assigned_document_property <=
Assigned_property <-
Property_representation.definition
Property_representation <=
Property_definition_representation
Property_definition_representation.used_representation ->
Representation =>
Document_property_representation
Document_property_representation.items[i] ->
descriptive_or_numerical = descriptive_document_property
descriptive_document_property <=
{string_representation_item <=
representation_item.name = 'creating system'}
string_representation_item.string_value"
;CreationProperty to CharacterString (as description);NO MAPPING;;;
;CreationProperty to Descriptor (as description);NO MAPPING;;;
;CreationProperty to DescriptorSet (as description);NO MAPPING;;;
;CreationProperty to LocalizedString (as description);NO MAPPING;;;
;CreationProperty to TranslatedStringSet (as description);NO MAPPING;;;
;CreationProperty to CharacterString (as operatingSystem);PATH;;;"Assigned_document_property <=
Assigned_property <-
Property_representation.definition
Property_representation <=
Property_definition_representation
Property_definition_representation.used_representation ->
Representation =>
Document_property_representation
Document_property_representation.items[i] ->
descriptive_or_numerical = descriptive_document_property
descriptive_document_property <=
{string_representation_item <=
representation_item.name = operating system'}
string_representation_item.string_value"""
DigitalDocumentDefinition;;Digital_document_definition;;;
;DigitalDocumentDefinition to DigitalFile (as files);PATH;;;"Digital_document_definition.files ->
Digital_file"
DigitalFile;;Digital_file;;;
DocumentDefinition;;Document_definition;;;
;DocumentDefinition to Classification (as classifiedAs);PATH;;;"Document_definition <=
Product_view_definition
classification_item = Product_view_definition
classification_item <-
Classification_assignment.items[i]
Classification_assignment"
;DocumentDefinition to CharacterString (as description);PATH;;;"Document_definition <=
Product_view_definition.name"
;DocumentDefinition to Descriptor (as description);PATH;;;"""Document_definition <=
Product_view_definition
assigned_name_select = Product_view_definition
assigned_name_select <-
Name_assignment.items[i]
{Name_assignment.role = 'description'}
Name_assignment"""
;DocumentDefinition to DescriptorSet (as description);PATH;;;"Document_definition <=
Product_view_definition
assigned_name_select = Product_view_definition
assigned_name_select <-
Name_assignment.items[i]
{Name_assignment.role = 'description'}
Name_assignment"
;DocumentDefinition to LocalizedString (as description);PATH;;;"Document_definition <=
Product_view_definition.name
{Document_definition
string_select = Document_definition
string_select <-
Language_indication.considered_instance
Language_indication
Language_indication.considered_attribute='name'}";;;;;;
;DocumentDefinition to TranslatedStringSet (as description);PATH;;;"Document_definition <=
Product_view_definition.name
{Product_view_definition
string_select = Product_view_definition
string_select <-
Attribute_translation_assignment.considered_instance
Attribute_translation_assignment
Attribute_translation_assignment.considered_attribute='name'}";;;;;;
;DocumentDefinition to ContentProperty (as documentContent);PATH;;;"Document_definition
document_property_item = Document_definition
document_property_item <-
Assigned_document_property
{Assigned_document_property <=
Assigned_property.description = 'content property'}";;;;;;
;DocumentDefinition to CreationProperty (as documentCreation);PATH;;;"Document_definition
document_property_item = Document_definition
document_property_item <-
Assigned_document_property
{Assigned_document_property <=
Assigned_property.description = creation property'}";;;;;;
;DocumentDefinition to FormatProperty (as documentFormat);PATH;;;"Document_definition
document_property_item = Document_definition
document_property_item <-
Assigned_document_property
{Assigned_document_property <=
Assigned_property.description = 'format property'}";;;;;;
;DocumentDefinition to SizeProperty (as documentSize);PATH;;;"Document_definition
document_property_item = Document_definition
document_property_item <-
Assigned_document_property
{Assigned_document_property <=
Assigned_property.description = 'size property'}";;;;;;
;DocumentDefinition to Identifier (as id);PATH;;;"Document_definition<=
Product_view_definition
/id_AS_Identifier(Product_view_definition)/";;;;;;
;DocumentDefinition to IdentifierSet (as id);PATH;;;"Document_definition <=
Product_view_definition
/id_AS_IdentifierSet(Product_view_definition)/";;;;;;  ENTITY product_view_definition;
;DocumentDefinition to IdentifierString (as id);PATH;;;"Document_definition <=
Product_view_definition.id";;;;;;      id                           : OPTIONAL STRING;
;DocumentDefinition to CharacterString (as name);NO MAPPING;;;;;;;;;      name                         : OPTIONAL STRING;
;DocumentDefinition to Descriptor (as name);NO MAPPING;;;;;;;;;      additional_characterization  : OPTIONAL STRING;
;DocumentDefinition to DescriptorSet (as name);NO MAPPING;;;;;;;;;      initial_context              : view_definition_context;
;DocumentDefinition to LocalizedString (as name);NO MAPPING;;;;;;;;;      additional_contexts          : SET [0 : ?] OF view_definition_context;
;DocumentDefinition to TranslatedStringSet (as name);NO MAPPING;;;;;;;;;      defined_version              : product_version;
;DocumentDefinition to ExternalItem (as sameAs);PATH;;;"Document_definition <=
Product_view_definition
/sameAs_AS_ExternalItem(Product_view_definition)/";;;;;;    WHERE
;DocumentDefinition to ExternalOwlObject (as sameAs);NO MAPPING;;;"Document_definition <=
Product_view_definition
/sameAs_AS_ExternalOwlObject(Product_view_definition)/";;;;;;      wr1: ( NOT ( initial_context IN additional_contexts ) );
;DocumentDefinition to Proxy (as sameAs);PATH;;;"Document_definition <=
Product_view_definition
/sameAs_AS_Proxy(Product_view_definition)/";;;;;;      wr2: ( EXISTS( id ) OR ( TYPEOF( SELF\product_view_definition ) <> TYPEOF( SELF ) ) );
