BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
;AssemblyViewRelationshipSubstitution to CharacterString (as description);Assembly_relationship_substitution.description;442;;;;
;AssemblyViewRelationshipSubstitution to Descriptor (as description);PATH;;;"Assembly_relationship_substitution
/description_AS_Descriptor(Assembly_relationship_substitution)/";;
;AssemblyViewRelationshipSubstitution to DescriptorSet (as description);PATH;;;"Assembly_relationship_substitution
/description_AS_DescriptorSet(Assembly_relationship_substitution)/";;
;AssemblyViewRelationshipSubstitution to LocalizedString (as description);PATH;;;"Assembly_relationship_substitution
/description_AS_LocalizedString(Assembly_relationship_substitution)/";;
;AssemblyViewRelationshipSubstitution to TranslatedStringSet (as description);PATH;;;"Assembly_relationship_substitution
/description_AS_TranslatedStringSet(Assembly_relationship_substitution)/";;
;AssemblyViewRelationshipSubstitution to Identifier (as id);PATH;;;"/MAPPING_OF(AssemblyViewRelationshipSubstitution)/
/id_AS_Identifier(Assembly_relationship_substitution)/";;
;AssemblyViewRelationshipSubstitution to IdentifierSet (as id);PATH;;;"/MAPPING_OF(AssemblyViewRelationshipSubstitution)/
/id_AS_IdentifierSet(Assembly_relationship_substitution)/";;
;AssemblyViewRelationshipSubstitution to IdentifierString (as id);NO MAPPING;;;;Add Assembly_relationship_substitution.id;no id attribute
;AssemblyViewRelationshipSubstitution to AssemblyViewRelationship (as related);PATH;;;"Assembly_relationship_substitution
Assembly_relationship_substitution.substitute_relationship ->
Assembly_component_relationship";;
;AssemblyViewRelationshipSubstitution to AssemblyViewRelationship (as relating);PATH;;;"Assembly_relationship_substitution
Assembly_relationship_substitution.base_relationship ->
Assembly_component_relationship";;
CollectedPartRelationship;;Collected_item_association;442;;"{Collected_item_association <=
Product_occurrence_definition_relationship}";;
;CollectedPartRelationship to CollectionDefinition (as relating);Collected_item_association.relating_view;442;;;;
;CollectedPartRelationship to ClassString (as relationType);PATH;;;"{Collected_item_association <=
Product_occurrence_definition_relationship
Product_occurrence_definition_relationship.relation_type = 'collected part view'}";;
CollectionDefinition;;Collection_definition;442;;"{Collection_definition <=
Part_view_definition <=
Product_view_definition}";;
;CollectionDefinition to CharacterString (as purpose);Product_view_definition.addtional_characterization;442;;;;
;CollectionDefinition to LocalizedString (as purpose);PATH;;;"Collection_definition <=
Part_view_definition <=
Product_view_definition
/purpose_AS_LocalizedString(Product_view_definition)/";;
;CollectionDefinition to TranslatedStringSet (as purpose);PATH;;;"Collection_definition <=
Part_view_definition <=
Product_view_definition
/purpose_AS_TranslatedStringSet(Product_view_definition)/";;
GeometricalRelationship;;Geometrical_relationship;442;;"{Geometrical_relationship <=
Part_definition_relationhsip <=
View_definition_relationship}";;
;GeometricalRelationship to GeometricRepresentationRelationshipWithPlacementTransformation (as placement);PATH;;;"Geometrical_relationship
Geometrical_relationship.definition_placement ->
/MAPPING_OF(GeometricRepresentationRelationshipWithPlacementTransformation)/";;
;GeometricalRelationship to ClassString (as relationType);PATH;;;"{Geometrical_relationship <=
Part_definition_relationhsip <=
View_definition_relationship
View_definition_relationship.relation_type = 'geometrical relationship'}";;
NextAssemblyOccurrenceUsage;;[Assembled_part_association] [Next_assembly_usage];"442
442";;"{Next_assembly_usage <=
Assembly_component_relationhship <=
Product_occurrence_definition_relationship =>
Part_occurrence_definition_relationship =>
Assembled_part_association}";;
;NextAssemblyOccurrenceUsage to ClassString (as relationType);PATH;;;"{Next_assembly_usage <=
Assembly_component_relationhship <=
Product_occurrence_definition_relationship
Product_occurrence_definition_relationship.relation_type = 'next assembly occurrence'}";;
NextAssemblyViewUsage;;Next_assembly_usage;442;;"{Next_assembly_usage <=
Assembly_component_relationhship <=
Product_occurrence_definition_relationship}";;
;NextAssemblyViewUsage to ClassString (as relationType);PATH;;;"{Next_assembly_usage <=
Assembly_component_relationhship <=
Product_occurrence_definition_relationship
Product_occurrence_definition_relationship.relation_type = 'next assembly view'}";;
PromissoryAssemblyOccurrenceUsage;;[Assembled_part_association] [Promissory_usage];"442
442";;"{Promissory_usage <=
Assembly_component_relationhship <=
Product_occurrence_definition_relationship =>
Part_occurrence_definition_relationship =>
Assembled_part_association}";;
;PromissoryAssemblyOccurrenceUsage to ClassString (as relationType);PATH;;;"{Promissory_usage <=
Assembly_component_relationhship <=
Product_occurrence_definition_relationship
Product_occurrence_definition_relationship.relation_type = 'promissory assembly occurrence'}";;
PromissoryAssemblyViewUsage;;Promissory_usage;442;;"{Promissory_usage <=
Assembly_component_relationhship <=
Product_occurrence_definition_relationship}";;
;PromissoryAssemblyViewUsage to ClassString (as relationType);PATH;;;"{Promissory_usage <=
Assembly_component_relationhship <=
Product_occurrence_definition_relationship
Product_occurrence_definition_relationship.relation_type = 'promissory assembly view'}";;
ReplacedPartViewRelationship;;Part_definition_relationship;442;;"{Part_definition_relationhsip <=
View_definition_relationship
View_definition_relationship.relation_type = 'definition replacement'}";;NTH: Replaced_part_definition_relationship is missing in the modules
;ReplacedPartViewRelationship to ClassString (as relationType);PATH;;;"{Part_definition_relationhsip <=
View_definition_relationship
View_definition_relationship.relation_type = 'definition replacement'}";;
