BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
AssemblyDefinition;;Assembly_definition;442;;"{Assembly_definition <=
Part_view_definition <=
Product_view_definition}";;
;AssemblyDefinition to Class (as assemblyType);PATH;;;"Assembly_definition <=
Part_view_definition <=
Product_view_definition
/TYPEINFO_AS_Class(Product_view_definition, 'assembly type')/";;
;AssemblyDefinition to ClassString (as assemblyType);Product_view_definition.name;442;;;;
;AssemblyDefinition to ExternalClass (as assemblyType);PATH;;;"Assembly_definition <=
Part_view_definition <=
Product_view_definition
/TYPEINFO_AS_ExternalClass(Product_view_definition, 'assembly type')/";;NTH: .assembly_type attribute for Assembly_definition
;AssemblyDefinition to ExternalOwlClass (as assemblyType);PATH;;;"Assembly_definition <=
Part_view_definition <=
Product_view_definition
/TYPEINFO_AS_ExternalOwlClass(Product_view_definition, 'assembly type')/";;
AssemblyOccurrenceRelationship;;Assembled_part_association;;;"{Assembled_part_association <=
[Assembly_component_relationhship <=]
[Part_occurrence_definition_relationship <=]
Product_occurrence_definition_relationship}";;
;AssemblyOccurrenceRelationship to CartesianTransformation (as placement);PATH;;;"Assembled_part_association
Assembled_part_association.definition_placement ->
/MAPPING_OF(CartesianTransformation)/";;
;AssemblyOccurrenceRelationship to GeometricRepresentationRelationshipWithPlacementTransformation (as placement);PATH;;;"Assembled_part_association
Assembled_part_association.definition_placement ->
/MAPPING_OF(GeometricRepresentationRelationshipWithPlacementTransformation)/";;
;AssemblyOccurrenceRelationship to AssemblyDefinition (as relating);Assembled_part_association.relating_view;442;;;;
AssemblyOccurrenceRelationshipSubstitution;;Assembly_relationship_substitution;442;;"{Assembly_relationship_substitution
[Assembly_relationship_substitution.substitute_relationship ->
Assembly_component_relationhship <=
Product_occurrence_definition_relationship =>
Part_occurrence_definition_relationship =>
Assembled_part_association]
[Assembly_relationship_substitution.base_relationship ->
Assembly_component_relationhship <=
Product_occurrence_definition_relationship =>
Part_occurrence_definition_relationship =>
Assembled_part_association]}";;
;AssemblyOccurrenceRelationshipSubstitution to Classification (as classifiedAs);PATH;;;"/MAPPING_OF(AssemblyOccurrenceRelationshipSubstitution)/
/classifiedAs_AS_Classification(/MAPPING_OF(AssemblyOccurrenceRelationshipSubstitution)/)/";;
;AssemblyOccurrenceRelationshipSubstitution to CharacterString (as description);Assembly_relationship_substitution.description;442;;;;
;AssemblyOccurrenceRelationshipSubstitution to Descriptor (as description);PATH;;;"Assembly_relationship_substitution
/description_AS_Descriptor(Assembly_relationship_substitution)/";;
;AssemblyOccurrenceRelationshipSubstitution to DescriptorSet (as description);PATH;;;"Assembly_relationship_substitution
/description_AS_DescriptorSet(Assembly_relationship_substitution)/";;
;AssemblyOccurrenceRelationshipSubstitution to LocalizedString (as description);PATH;;;"Assembly_relationship_substitution
/description_AS_LocalizedString(Assembly_relationship_substitution)/";;
;AssemblyOccurrenceRelationshipSubstitution to TranslatedStringSet (as description);PATH;;;"Assembly_relationship_substitution
/description_AS_TranslatedStringSet(Assembly_relationship_substitution)/";;
;AssemblyOccurrenceRelationshipSubstitution to Identifier (as id);PATH;;;"/MAPPING_OF(AssemblyOccurrenceRelationshipSubstitution)/
/id_AS_Identifier(Assembly_relationship_substitution)/";;
;AssemblyOccurrenceRelationshipSubstitution to IdentifierSet (as id);PATH;;;"/MAPPING_OF(AssemblyOccurrenceRelationshipSubstitution)/
/id_AS_IdentifierSet(Assembly_relationship_substitution)/";;
;AssemblyOccurrenceRelationshipSubstitution to IdentifierString (as id);NO MAPPING;;;;Add Assembly_relationship_substitution.id;no id attribute
;AssemblyOccurrenceRelationshipSubstitution to AssemblyOccurrenceRelationship (as related);PATH;;;"Assembly_relationship_substitution
Assembly_relationship_substitution.substitute_relationship ->
Assembly_component_relationship";;
;AssemblyOccurrenceRelationshipSubstitution to AssemblyOccurrenceRelationship (as relating);PATH;;;"Assembly_relationship_substitution
Assembly_relationship_substitution.base_relationship ->
Assembly_component_relationship";;
AssemblyViewRelationship;;Assembly_component_relationhship;;;"{Assembly_component_relationhship <=
Product_occurrence_definition_relationship}";;
;AssemblyViewRelationship to GeometricModel (as definingGeometry);PATH;;;"/MAPPING_OF(AssemblyViewRelationship)/ <-
shapeable_item = /MAPPING_OF(AssemblyViewRelationship)/
shapeable_item <-
Item_shape.described_element
Item_shape <=
Associated_item_shape <-
Shape_description_association.definition
Shape_description_association
Shape_description_association.used_representation ->
shape_model
shape_model = Geometric_model
Geometric_model";;
;AssemblyViewRelationship to Identifier (as locationIndicator);PATH;;;"Assembly_component_relationhship
/locationIndicator_AS_Identifier(Assembly_component_relationhship)/";;
;AssemblyViewRelationship to IdentifierSet (as locationIndicator);PATH;;;"Assembly_component_relationhship
/locationIndicator_AS_IdentifierSet(Assembly_component_relationhship)/";;
;AssemblyViewRelationship to IdentifierString (as locationIndicator);Assembly_component_relationhship.location_indicator;442;exactly_one_ExchangeContext;;;
;AssemblyViewRelationship to ValueWithUnit (as quantity);;;;"Assembly_component_relationhship
Assembly_component_relationhship.quantity ->
/MAPPING_OF(ValueWithUnit)/";;
;AssemblyViewRelationship to AssemblyDefinition (as relating);PATH;;;"Assembly_component_relationhship
Assembly_component_relationhship.relating_view ->
Product_view_definition =>
Part_view_definition =>
Assembly_definition";;
AssemblyViewRelationshipSubstitution;;Assembly_relationship_substitution;442;;;;
;AssemblyViewRelationshipSubstitution to Classification (as classifiedAs);PATH;;;"/MAPPING_OF(AssemblyViewRelationshipSubstitution)/
/classifiedAs_AS_Classification(/MAPPING_OF(AssemblyViewRelationshipSubstitution)/)/";;
