BO;Attribute;ARM Element;Source;Rules;Reference path
;ActivityAssignment to IndividualPartVersion (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to IndividualPartVersionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to IndividualPartView (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to IndividualPartViewRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to InformationUsageRightAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to MaterialIdentification (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to MaterialPropertyAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ModelPropertyAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Occurrence (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to OccurrenceRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Organization (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Part (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to PartVersion (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to PartVersionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to PartView (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to PartViewRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Person (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to PersonInOrganization (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ProcessOperationDefinition (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ProcessOperationOccurrence (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ProcessOperationResourceAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ProcessPlan (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ProductClass (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ProductConfiguration (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Project (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ProjectAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ProjectRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to PropertyDefinitionAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to PropertyDefinitionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to PropertyValue (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to PropertyValueAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to PropertyValueRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Requirement (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to RequirementAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to RequirementVersion (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to RequirementVersionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to RequirementView (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to RequirementViewRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to SecurityClassificationAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Specification (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to SpecificationAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to SpecificationCategory (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to SpecificationCategoryAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to SpecificationConditionAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to SpecificationInclusion (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to SpecificationInclusionAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to StyledModel (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to TimeIntervalAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ViewOccurrenceRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to WorkOrderAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to WorkRequestAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Classification (as classifiedAs);"NO MAPPING PROVIDED";;;
;ActivityAssignment to CharacterString (as description);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Descriptor (as description);"NO MAPPING PROVIDED";;;
;ActivityAssignment to DescriptorSet (as description);"NO MAPPING PROVIDED";;;
;ActivityAssignment to LocalizedString (as description);"NO MAPPING PROVIDED";;;
;ActivityAssignment to TranslatedStringSet (as description);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Identifier (as id);"NO MAPPING PROVIDED";;;
;ActivityAssignment to IdentifierSet (as id);"NO MAPPING PROVIDED";;;
;ActivityAssignment to IdentifierString (as id);"NO MAPPING PROVIDED";;;
;ActivityAssignment to Class (as role);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ClassString (as role);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ExternalClass (as role);"NO MAPPING PROVIDED";;;
;ActivityAssignment to ExternalOwlClass (as role);"NO MAPPING PROVIDED";;;
ActivityHappeningRelationship;;"NO MAPPING PROVIDED";;;
;ActivityHappeningRelationship to ActualActivity (as related);"NO MAPPING PROVIDED";;;
;ActivityHappeningRelationship to PlannedActivity (as relating);"NO MAPPING PROVIDED";;;
;ActivityHappeningRelationship to Class (as relationType);"NO MAPPING PROVIDED";;;
;ActivityHappeningRelationship to ClassString (as relationType);"NO MAPPING PROVIDED";;;
;ActivityHappeningRelationship to ExternalClass (as relationType);"NO MAPPING PROVIDED";;;
;ActivityHappeningRelationship to ExternalOwlClass (as relationType);"NO MAPPING PROVIDED";;;
ActivityMethod;;"NO MAPPING PROVIDED";;;
;ActivityMethod to Classification (as classifiedAs);"NO MAPPING PROVIDED";;;
;ActivityMethod to CharacterString (as consequence);"NO MAPPING PROVIDED";;;
;ActivityMethod to LocalizedString (as consequence);"NO MAPPING PROVIDED";;;
;ActivityMethod to TranslatedStringSet (as consequence);"NO MAPPING PROVIDED";;;
;ActivityMethod to CharacterString (as description);"NO MAPPING PROVIDED";;;
;ActivityMethod to Descriptor (as description);"NO MAPPING PROVIDED";;;
;ActivityMethod to DescriptorSet (as description);"NO MAPPING PROVIDED";;;
;ActivityMethod to LocalizedString (as description);"NO MAPPING PROVIDED";;;
;ActivityMethod to TranslatedStringSet (as description);"NO MAPPING PROVIDED";;;
;ActivityMethod to Identifier (as id);"NO MAPPING PROVIDED";;;
;ActivityMethod to IdentifierSet (as id);"NO MAPPING PROVIDED";;;
;ActivityMethod to IdentifierString (as id);"NO MAPPING PROVIDED";;;
;ActivityMethod to CharacterString (as name);"NO MAPPING PROVIDED";;;
;ActivityMethod to Descriptor (as name);"NO MAPPING PROVIDED";;;
;ActivityMethod to DescriptorSet (as name);"NO MAPPING PROVIDED";;;
;ActivityMethod to LocalizedString (as name);"NO MAPPING PROVIDED";;;
;ActivityMethod to TranslatedStringSet (as name);"NO MAPPING PROVIDED";;;
;ActivityMethod to CharacterString (as purpose);"NO MAPPING PROVIDED";;;
;ActivityMethod to LocalizedString (as purpose);"NO MAPPING PROVIDED";;;
;ActivityMethod to TranslatedStringSet (as purpose);"NO MAPPING PROVIDED";;;
;ActivityMethod to ExternalItem (as sameAs);"NO MAPPING PROVIDED";;;
;ActivityMethod to ExternalOwlObject (as sameAs);"NO MAPPING PROVIDED";;;
;ActivityMethod to Proxy (as sameAs);"NO MAPPING PROVIDED";;;
;ActivityMethod to ProxyString (as sameAs);"NO MAPPING PROVIDED";;;
ActivityMethodAssignment;;"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ActivityMethod (as assignedActivityMethod);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Activity (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ActivityAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ActivityMethod (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ActivityMethodAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to AddressAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to AlternativeSolution (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to ApprovalAssignment (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to Breakdown (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to BreakdownElement (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to BreakdownElementVersion (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to BreakdownElementVersionRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to BreakdownElementView (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to BreakdownElementViewRelationship (as assignedTo);"NO MAPPING PROVIDED";;;
;ActivityMethodAssignment to BreakdownVersion (as assignedTo);"NO MAPPING PROVIDED";;;
