"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path";"Remarks";"Issues against ARM"
;"EffectivityAssignment to ActivityRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to AddressAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to AlternativeSolutionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ApprovalAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ApprovalRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to AssemblyOccurrenceRelationshipSubstitution (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to AssemblyViewRelationshipSubstitution (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to AssignmentObjectRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Breakdown (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to BreakdownElement (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to BreakdownElementRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to BreakdownElementVersion (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to BreakdownElementVersionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to BreakdownElementView (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to BreakdownElementViewRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to BreakdownRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to BreakdownVersion (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to BreakdownVersionAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to BreakdownVersionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to CertificationAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Class (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ClassString (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ClassificationRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Condition (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ConditionAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ConditionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ConditionalConfiguration (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to ContractAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to DateAndPersonAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to DateTimeAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Descriptor (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to DescriptorRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to Document (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to DocumentAssignment (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to DocumentDefinition (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
;"EffectivityAssignment to DocumentDefinitionRelationship (as assignedTo)";"PATH";;;"/Effectivity_assignment(^TO_ASSERTION)/";;
