"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path";"Remarks";"Issues against ARM"
;"EffectivityAssignment to Identifier (as id)";"PATH";;;"#1: Effectivity_assignment
/id_AS_Identifier(Effectivity_assignment)/
#2: Ineffectivity_assignment
/id_AS_Identifier(Ineffectivity_assignment)/";;
;"EffectivityAssignment to IdentifierSet (as id)";"PATH";;;"#1: Effectivity_assignment
/id_AS_IdentifierSet(Effectivity_assignment)/
#2: Ineffectivity_assignment
/id_AS_IdentifierSet(Ineffectivity_assignment)/";;
;"EffectivityAssignment to IdentifierString (as id)";"NO MAPPING";;;;"#1: Effectivity_assignment.id)
#2: (Ineffectivity_assignment.id)";"id attribute missing in Effectivity_assignment
.id attribute missing in Ineffectivity_assignment"
;"EffectivityAssignment to Class (as role)";"PATH";;;"#1: Effectivity_assignment
/TYPEINFO_AS_Class(Effectivity_assignment, 'role')/
#2: Ineffectivity_assignment
/TYPEINFO_AS_Class(Ineffectivity_assignment, 'role')/";;
;"EffectivityAssignment to ClassString (as role)";"#1: Effectivity_assignment.role)
#2: (Ineffectivity_assignment.role)";"442
442";;;;
;"EffectivityAssignment to ExternalClass (as role)";"PATH";;;"#1: Effectivity_assignment
/TYPEINFO_AS_ExternalClass(Effectivity_assignment, 'role')/
#2: Ineffectivity_assignment
/TYPEINFO_AS_ExternalClass(Ineffectivity_assignment, 'role')/";;
;"EffectivityAssignment to ExternalOwlClass (as role)";"PATH";;;"#1: Effectivity_assignment
/TYPEINFO_AS_ExternalOwlClass(Effectivity_assignment, 'role')/
#2: Ineffectivity_assignment
/TYPEINFO_AS_ExternalOwlClass(Ineffectivity_assignment, 'role')/";;
"EffectivityRelationship";;"Effectivity_relationship";;;;;
;"EffectivityRelationship to Classification (as classifiedAs)";"PATH";;;"Effectivity_relationship
/classifiedAs_AS_Classification(Effectivity_relationship)/";;
;"EffectivityRelationship to CharacterString (as description)";"Effectivity_relationship.description";442;;;;
;"EffectivityRelationship to Descriptor (as description)";"PATH";;;"Effectivity_relationship
/description_AS_Descriptor(Effectivity_relationship)/";;
;"EffectivityRelationship to DescriptorSet (as description)";"PATH";;;"Effectivity_relationship
/description_AS_DescriptorSet(Effectivity_relationship)/";;
;"EffectivityRelationship to LocalizedString (as description)";"PATH";;;"Effectivity_relationship
/description_AS_LocalizedString(Effectivity_relationship)/";;
;"EffectivityRelationship to TranslatedStringSet (as description)";"PATH";;;"Effectivity_relationship
/description_AS_TranslatedStringSet(Effectivity_relationship)/";;
;"EffectivityRelationship to Identifier (as id)";"PATH";;;"/MAPPING_OF(EffectivityRelationship)/
/id_AS_Identifier(Effectivity_relationship)/";;
;"EffectivityRelationship to IdentifierSet (as id)";"PATH";;;"/MAPPING_OF(EffectivityRelationship)/
/id_AS_IdentifierSet(Effectivity_relationship)/";;
;"EffectivityRelationship to IdentifierString (as id)";"NO MAPPING";;;;"Add Effectivity_relationship.id";"no id attribute"
;"EffectivityRelationship to Effectivity (as related)";"Effectivity_relationship.related_effectivity";442;;;;
;"EffectivityRelationship to Effectivity (as relating)";"Effectivity_relationship.relating_effectivity";442;;;;
;"EffectivityRelationship to Class (as relationType)";"PATH";;;"Effectivity_relationship
/TYPEINFO_AS_Class(Effectivity_relationship, 'relation type')/";;
;"EffectivityRelationship to ClassString (as relationType)";"Effectivity_relationship.relation_type";442;;;;
;"EffectivityRelationship to ExternalClass (as relationType)";"PATH";;;"Effectivity_relationship
/TYPEINFO_AS_ExternalClass(Effectivity_relationship, 'relation type')/";;
;"EffectivityRelationship to ExternalOwlClass (as relationType)";"PATH";;;"Effectivity_relationship
/TYPEINFO_AS_ExternalOwlClass(Effectivity_relationship, 'relation type')/";;
"LotEffectivity";;"Lot_effectivity";442;;;;
;"LotEffectivity to ValueWithUnit (as lotSize)";"Lot_effectivity.lot_size";442;;;;
"SerialEffectivity";;"Serial_effectivity";442;;;;
;"SerialEffectivity to Identifier (as endNumber)";"PATH";;;"Serial_effectivity
/number_AS_Identifier(Serial_effectivity, 'end number')/";;
;"SerialEffectivity to IdentifierSet (as endNumber)";"PATH";;;"Serial_effectivity
/number_AS_IdentifierSet(Serial_effectivity, 'end number')/";;
;"SerialEffectivity to IdentifierString (as endNumber)";"Serial_effectivity.end_id";442;"exactly_one_ExchangeContext";;;
;"SerialEffectivity to Identifier (as startNumber)";"PATH";;;"Serial_effectivity
/number_AS_Identifier(Serial_effectivity, 'start number')/";;
;"SerialEffectivity to IdentifierSet (as startNumber)";"PATH";;;"Serial_effectivity
/number_AS_IdentifierSet(Serial_effectivity, 'start number')/";;
;"SerialEffectivity to IdentifierString (as startNumber)";"Serial_effectivity.start_id";442;"exactly_one_ExchangeContext";;;
"TimeIntervalEffectivity";;"Time_interval_effectivity";442;;;;
;"TimeIntervalEffectivity to Duration (as effectivityPeriod)";"Time_interval_effectivity.effectivity_period";442;;;;
