BO,Attribute,ARM Element,Source,Rules,Reference path
,ProcessOperationOccurrenceRelationship to Identifier (as id),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to IdentifierSet (as id),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to IdentifierString (as id),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to ProcessOperationOccurrence (as related),PATH,,,"Process_operation_occurrence_relationship.related ->
Process_operation_occurrence"
,ProcessOperationOccurrenceRelationship to ProcessOperationOccurrence (as relating),PATH,,,"Process_operation_occurrence_relationship.relating ->
Process_operation_occurrence"
,ProcessOperationOccurrenceRelationship to Class (as relationType),NO MAPPING,,,
,ProcessOperationOccurrenceRelationship to ClassString (as relationType),Process_operation_occurrence_relationship.relation_type,,,
,ProcessOperationOccurrenceRelationship to ExternalClass (as relationType),,,,
,ProcessOperationOccurrenceRelationship to ExternalOwlClass (as relationType),,,,
,ProcessOperationOccurrenceRelationship to PropertyValue (as waitingTime),,,,
ProcessOperationResourceAssignment,,Process_operation_resource_assignment,,,
,ProcessOperationResourceAssignment to BreakdownElement (as assignedResource),PATH,,,"Process_operation_resource_assignment.resource_definition ->
resource_definition_select = Breakdown_element_definition
Breakdown_element_definition"
,ProcessOperationResourceAssignment to IndividualPartView (as assignedResource),PATH,,,"Process_operation_resource_assignment.resource_definition ->
resource_definition_select = Product_as_individual_view
Product_as_individual_view"
,ProcessOperationResourceAssignment to Occurrence (as assignedResource),PATH,,,"Process_operation_resource_assignment.resource_definition ->
resource_definition_select = Product_occurrence
Product_occurrence"
,ProcessOperationResourceAssignment to PartVersion (as assignedResource),PATH,,,"Process_operation_resource_assignment.resource_definition ->
resource_definition_select = Part_view_definition
Part_view_definition.defined_version ->
Part_version"
,ProcessOperationResourceAssignment to RequirementView (as assignedResource),NO MAPPING,,,
,ProcessOperationResourceAssignment to ProcessOperationOccurrence (as assignedTo),PATH,,,"Process_operation_resource_assignment.operation ->
Process_operation_occurrence"
,ProcessOperationResourceAssignment to Classification (as classifiedAs),NO MAPPING,,,
,ProcessOperationResourceAssignment to CharacterString (as description),NO MAPPING
,ProcessOperationResourceAssignment to Descriptor (as description),NO MAPPING
,ProcessOperationResourceAssignment to DescriptorSet (as description),NO MAPPING
,ProcessOperationResourceAssignment to LocalizedString (as description),NO MAPPING
,ProcessOperationResourceAssignment to TranslatedStringSet (as description),NO MAPPING
,ProcessOperationResourceAssignment to Identifier (as id),NO MAPPING
,ProcessOperationResourceAssignment to IdentifierSet (as id),NO MAPPING
,ProcessOperationResourceAssignment to IdentifierString (as id),NO MAPPING
,ProcessOperationResourceAssignment to GeometricRepresentationRelationshipWithPlacementTransformation (as placement),NO MAPPING
,ProcessOperationResourceAssignment to CharacterString (as reason),Process_operation_resource_assignment.reason
,ProcessOperationResourceAssignment to LocalizedString (as reason),tbd add to string_select
,ProcessOperationResourceAssignment to TranslatedStringSet (as reason),tbd add to string_select
,referenceTool,Process_operation_resource_assignment.reference_tool
ProcessPlan,,Process_plan
,ProcessPlan to Classification (as classifiedAs),NO MAPPING
,ProcessPlan to CharacterString (as description),Process_plan.description
,ProcessPlan to Descriptor (as description),NO MAPPING,,,
,ProcessPlan to DescriptorSet (as description),NO MAPPING,,,
,ProcessPlan to LocalizedString (as description),tbd add to string_select,,,
,ProcessPlan to TranslatedStringSet (as description),tbd add to string_select,,,
,ProcessPlan to Identifier (as id),NO MAPPING,,,
,ProcessPlan to IdentifierSet (as id),NO MAPPING,,,
,ProcessPlan to IdentifierString (as id),Process_plan.plan_id,,,
,ProcessPlan to CharacterString (as name),Process_plan.name,,,
,ProcessPlan to Descriptor (as name),NO MAPPING,,,
,ProcessPlan to DescriptorSet (as name),NO MAPPING,,,
,ProcessPlan to LocalizedString (as name),tbd add to string_select,,,
,ProcessPlan to TranslatedStringSet (as name),tbd add to string_select,,,
,ProcessPlan to PartVersion (as producedOutputs),PATH,,,"Process_plan.produced_output ->
Part_version"
,ProcessPlan to Identifier (as versionId),NO MAPPING,,,
,ProcessPlan to IdentifierSet (as versionId),NO MAPPING,,,
,ProcessPlan to IdentifierString (as versionId),Process_plan.version_id,,,
ProcessPlanRelationship,,Process_plan_relationship,,,
,ProcessPlanRelationship to Classification (as classifiedAs),NO MAPPING,,,
,ProcessPlanRelationship to CharacterString (as description),Process_plan_relationship.description,,,
,ProcessPlanRelationship to Descriptor (as description),NO MAPPING,,,
,ProcessPlanRelationship to DescriptorSet (as description),NO MAPPING,,,
,ProcessPlanRelationship to LocalizedString (as description),tbd add to string_select,,,
,ProcessPlanRelationship to TranslatedStringSet (as description),tbd add to string_select,,,
,ProcessPlanRelationship to Identifier (as id),NO MAPPING,,,
,ProcessPlanRelationship to IdentifierSet (as id),NO MAPPING,,,
,ProcessPlanRelationship to IdentifierString (as id),NO MAPPING,,,
,ProcessPlanRelationship to ProcessPlan (as related),PATH,,,"Process_plan_relationship.related ->
Process_plan"
,ProcessPlanRelationship to ProcessPlan (as relating),PATH,,,"Process_plan_relationship.relating ->
Process_plan"
,ProcessPlanRelationship to Class (as relationType),NO MAPPING,,,
,ProcessPlanRelationship to ClassString (as relationType),Process_plan_relationship.relation_type,,,
,ProcessPlanRelationship to ExternalClass (as relationType),NO MAPPING,,,
,ProcessPlanRelationship to ExternalOwlClass (as relationType),NO MAPPING,,,
