BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
;ConditionAssignment to Identifier (as id);PATH;;;"/MAPPING_OF(ProductClassRelationship)/
/id_AS_Identifier(Condition_assignment)/";;
;ConditionAssignment to IdentifierSet (as id);PATH;;;"/MAPPING_OF(ProductClassRelationship)/
/id_AS_IdentifierSet(Condition_assignment)/";;
;ConditionAssignment to IdentifierString (as id);NO MAPPING;;;;Add Product_class_relationship.id;no id attribute
;ConditionAssignment to Class (as role);PATH;;;"Condition_assignment
/TYPEINFO_AS_Class(Condition_assignment, 'role')/";;
;ConditionAssignment to ClassString (as role);NO MAPPING;;;;Condition_assignment.role;no role attribute
;ConditionAssignment to ExternalClass (as role);PATH;;;"Condition_assignment
/TYPEINFO_AS_ExternalClass(Condition_assignment, 'role')/";;
;ConditionAssignment to ExternalOwlClass (as role);PATH;;;"Condition_assignment
/TYPEINFO_AS_ExternalOwlClass(Condition_assignment, 'role')/";;
ConditionParameter;;Condition_parameter;442;;;;
;ConditionParameter to Classification (as classifiedAs);PATH;;;"Condition_parameter
/classifiedAs_AS_Classification(Condition_parameter)/";;
;ConditionParameter to CharacterString (as description);Product_concept.description;442;;;;
;ConditionParameter to Descriptor (as description);PATH;;;"Condition_parameter
/description_AS_Descriptor(Condition_parameter)/";;
;ConditionParameter to DescriptorSet (as description);PATH;;;"Condition_parameter
/description_AS_DescriptorSet(Condition_parameter)/";;
;ConditionParameter to LocalizedString (as description);PATH;;;"Condition_parameter
/description_AS_LocalizedString(Condition_parameter)/";;
;ConditionParameter to TranslatedStringSet (as description);PATH;;;"Condition_parameter
/description_AS_TranslatedStringSet(Condition_parameter)/";;
;ConditionParameter to Activity (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ActivityAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ActivityMethod (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ActivityMethodAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to AddressAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Approval (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ApprovalAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Breakdown (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to BreakdownElement (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to BreakdownElementVersion (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to BreakdownElementView (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to BreakdownElementViewRelationship (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to BreakdownVersion (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to BreakdownVersionAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to CertificationAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Classification (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Condition (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ConditionAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ConditionRelationship (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ContractAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to DateAndPersonAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to DateTimeAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to DateTimeString (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Descriptor (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Document (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to DocumentAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to DocumentDefinition (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to DocumentDefinitionRelationship (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to DocumentVersion (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to EffectivityAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to EventAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ExternalPropertyDefinition (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to FrozenAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Identifier (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to IndividualPart (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to IndividualPartVersion (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to IndividualPartView (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to IndividualPartViewRelationship (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to InformationUsageRightAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to MaterialPropertyAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ModelPropertyAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Organization (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to OrganizationOrPersonInOrganizationAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Part (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to PartVersion (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to PartView (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to PartViewRelationship (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ProcessOperationResourceAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ProductConcept (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ProductConfiguration (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ProjectAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to PropertyDefinition (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to PropertyDefinitionAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to PropertyDefinitionRelationship (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to PropertyDefinitionString (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to PropertyValue (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to PropertyValueAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to PropertyValueRelationship (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Proxy (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Requirement (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to RequirementAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to RequirementVersion (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to RequirementView (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to RequirementViewRelationship (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to SecurityClassificationAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to Specification (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to SpecificationAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to SpecificationCategoryAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to SpecificationConditionAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to SpecificationInclusionAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to TimeIntervalAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to WorkOrderAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to WorkRequest (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to WorkRequestAssignment (as parameter);PATH;;;"Condition_parameter
Condition_parameter.parameter ->
condition_parameter_item
condition_parameter_item = /MAPPING_OF(^TO_ASSERTION)/
/MAPPING_OF(^TO_ASSERTION)/";;
;ConditionParameter to ExternalItem (as sameAs);PATH;;;"Condition_parameter
/sameAs_AS_ExternalItem(Condition_parameter)/";;
;ConditionParameter to ExternalOwlObject (as sameAs);PATH;;;"Condition_parameter
/sameAs_AS_ExternalOWLObject(Condition_parameter)/";;
;ConditionParameter to Proxy (as sameAs);PATH;;;"Condition_parameter
/sameAs_AS_Proxy(Condition_parameter)/";;
;ConditionParameter to ProxyString (as sameAs);PATH;;;"Condition_parameter
/sameAs_AS_ProxyString(Condition_parameter)/";;
ConditionRelationship;;Condition_relationship;442;;;;
;ConditionRelationship to Classification (as classifiedAs);PATH;;;"Condition_relationship
/classifiedAs_AS_Classification(Condition_relationship)/";;
;ConditionRelationship to CharacterString (as description);Condition_relationship.description;442;;;;
;ConditionRelationship to Descriptor (as description);PATH;;;"Condition_relationship
/description_AS_Descriptor(Condition_relationship)/";;
;ConditionRelationship to DescriptorSet (as description);PATH;;;"Condition_relationship
/description_AS_DescriptorSet(Condition_relationship)/";;
;ConditionRelationship to LocalizedString (as description);PATH;;;"Condition_relationship
/description_AS_LocalizedString(Condition_relationship)/";;
;ConditionRelationship to TranslatedStringSet (as description);PATH;;;"Condition_relationship
/description_AS_TranslatedStringSet(Condition_relationship)/";;
;ConditionRelationship to Identifier (as id);PATH;;;"/MAPPING_OF(ProductClassRelationship)/
/id_AS_Identifier(Condition_relationship)/";;
;ConditionRelationship to IdentifierSet (as id);PATH;;;"/MAPPING_OF(ProductClassRelationship)/
/id_AS_IdentifierSet(Condition_relationship)/";;
;ConditionRelationship to IdentifierString (as id);NO MAPPING;;;;Add Product_class_relationship.id;no id attribute
;ConditionRelationship to Condition (as related);Condition_relationship.related;442;;;;
;ConditionRelationship to Condition (as relating);Condition_relationship.relating;442;;;;
;ConditionRelationship to Class (as relationType);PATH;;;"Condition_relationship
/TYPEINFO_AS_Class(Condition_relationship, 'relation type')/";;
;ConditionRelationship to ClassString (as relationType);Condition_relationship.relation_type;442;;;;
;ConditionRelationship to ExternalClass (as relationType);PATH;;;"Condition_relationship
/TYPEINFO_AS_ExternalClass(Condition_relationship, 'relation type')/";;
;ConditionRelationship to ExternalOwlClass (as relationType);PATH;;;"Condition_relationship
/TYPEINFO_AS_ExternalOwlClass(Condition_relationship, 'relation type')/";;
EqualsCondition;;Condition;442;;"Condition
{Condition.name = 'equals'}";;
;EqualsCondition to Class (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_Class(Condition, 'condition type')/";;
;EqualsCondition to ClassString (as conditionType);Condition.name;442;;"Condition
{Condition.name = 'equals'}";;
;EqualsCondition to ExternalClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalClass(Condition, 'condition type')/";;
;EqualsCondition to ExternalOwlClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalOwlClass(Condition, 'condition type')/";;
Market;;Market;442;;;;
;Market to Classification (as classifiedAs);PATH;;;"Market
/classifiedAs_AS_Classification(Market)/";;
;Market to Identifier (as id);PATH;;;"Market
/id_AS_Identifier(Market)/";;
;Market to IdentifierSet (as id);PATH;;;"Market
/id_AS_IdentifierSet(Market)/";;
;Market to IdentifierString (as id);NO MAPPING;;;;;Market.id is missing
;Market to Class (as marketSegmentType);PATH;;;"Market
/TYPEINFO_AS_Class(Market, 'market segment type')/";;
;Market to ClassString (as marketSegmentType);Market.market_segment_type;442;;;;
;Market to ExternalClass (as marketSegmentType);PATH;;;"Market
/TYPEINFO_AS_ExternalClass(Market, 'market segment type')/";;
;Market to ExternalOwlClass (as marketSegmentType);PATH;;;"Market
/TYPEINFO_AS_ExternalOwlClass(Market, 'market segment type')/";;
;Market to CharacterString (as name);Market.name;442;;;;
;Market to Descriptor (as name);PATH;;;"Market
/name_AS_Descriptor(Market)/";;
;Market to DescriptorSet (as name);PATH;;;"Market
/name_AS_DescriptorSet(Market)/";;
;Market to LocalizedString (as name);PATH;;;"Market
/name_AS_LocalizedString(Market)/";;
;Market to TranslatedStringSet (as name);PATH;;;"Market
/name_AS_TranslatedStringSet(Market)/";;
;Market to ExternalItem (as sameAs);PATH;;;"Market
/sameAs_AS_ExternalItem(Market)/";;
;Market to ExternalOwlObject (as sameAs);PATH;;;"Market
/sameAs_AS_ExternalOWLObject(Market)/";;
;Market to Proxy (as sameAs);PATH;;;"Market
/sameAs_AS_Proxy(Market)/";;
;Market to ProxyString (as sameAs);PATH;;;"Market
/sameAs_AS_ProxyString(Market)/";;
NotCondition;;Condition;442;;"Condition
{Condition.name = 'not'}";;
;NotCondition to Class (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_Class(Condition, 'condition type')/";;
;NotCondition to ClassString (as conditionType);Condition.name;442;;"Condition
{Condition.name = 'not'}";;
;NotCondition to ExternalClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalClass(Condition, 'condition type')/";;
;NotCondition to ExternalOwlClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalOwlClass(Condition, 'condition type')/";;
NotEqualsCondition;;Condition;442;;"Condition
{Condition.name = 'not equals'}";;
;NotEqualsCondition to Class (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_Class(Condition, 'condition type')/";;
;NotEqualsCondition to ClassString (as conditionType);Condition.name;442;;"Condition
{Condition.name = 'not equals'}";;
;NotEqualsCondition to ExternalClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalClass(Condition, 'condition type')/";;
;NotEqualsCondition to ExternalOwlClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalOwlClass(Condition, 'condition type')/";;
OneOfCondition;;Condition;442;;"Condition
{Condition.name = 'one of'}";;
;OneOfCondition to Class (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_Class(Condition, 'condition type')/";;
;OneOfCondition to ClassString (as conditionType);Condition.name;442;;"Condition
{Condition.name = 'one of'}";;
;OneOfCondition to ExternalClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalClass(Condition, 'condition type')/";;
;OneOfCondition to ExternalOwlClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalOwlClass(Condition, 'condition type')/";;
OrCondition;;Condition;442;;"Condition
{Condition.name = 'or'}";;
;OrCondition to Class (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_Class(Condition, 'condition type')/";;
;OrCondition to ClassString (as conditionType);Condition.name;442;;"Condition
{Condition.name = 'or'}";;
;OrCondition to ExternalClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalClass(Condition, 'condition type')/";;
;OrCondition to ExternalOwlClass (as conditionType);PATH;;;"Condition
/TYPEINFO_AS_ExternalOwlClass(Condition, 'condition type')/";;
ProductClass;;Product_class;442;;"{Product_class <=
Product_concept}";;
;ProductClass to Class (as levelType);PATH;;;"Product_class
/TYPEINFO_AS_Class(Product_class, 'level type')/";;
;ProductClass to ClassString (as levelType);Product_class.level_type;442;;;;
;ProductClass to ExternalClass (as levelType);PATH;;;"Product_class
/TYPEINFO_AS_ExternalClass(Product_class, 'level type')/";;
;ProductClass to ExternalOwlClass (as levelType);PATH;;;"Product_class
/TYPEINFO_AS_ExternalOwlClass(Product_class, 'level type')/";;
;ProductClass to Identifier (as versionId);PATH;;;"Product_class
/versionId_AS_Identifier(Product_class)/";;
;ProductClass to IdentifierSet (as versionId);PATH;;;"Product_class
/versionId_AS_IdentifierSet(Product_class)/";;
;ProductClass to IdentifierString (as versionId);Product_class.version_id;442;exactly_one_ExchangeContext;;;
ProductClassRelationship;;Product_class_relationship;442;;;;
;ProductClassRelationship to Classification (as classifiedAs);PATH;;;"Product_class_relationship
/classifiedAs_AS_Classification(Product_class_relationship)/";;
;ProductClassRelationship to CharacterString (as description);Product_class_relationship.description;442;;;;
;ProductClassRelationship to Descriptor (as description);PATH;;;"Product_class_relationship
/description_AS_Descriptor(Product_class_relationship)/";;
;ProductClassRelationship to DescriptorSet (as description);PATH;;;"Product_class_relationship
/description_AS_DescriptorSet(Product_class_relationship)/";;
;ProductClassRelationship to LocalizedString (as description);PATH;;;"Product_class_relationship
/description_AS_LocalizedString(Product_class_relationship)/";;
;ProductClassRelationship to TranslatedStringSet (as description);PATH;;;"Product_class_relationship
/description_AS_TranslatedStringSet(Product_class_relationship)/";;
;ProductClassRelationship to Identifier (as id);PATH;;;"/MAPPING_OF(ProductClassRelationship)/
/id_AS_Identifier(Product_class_relationship)/";;
;ProductClassRelationship to IdentifierSet (as id);PATH;;;"/MAPPING_OF(ProductClassRelationship)/
/id_AS_IdentifierSet(Product_class_relationship)/";;
;ProductClassRelationship to IdentifierString (as id);NO MAPPING;;;;Add Product_class_relationship.id;no id attribute
;ProductClassRelationship to ProductClass (as related);Product_class_relationship.related;442;;;;
