"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"Address";;"NO MAPPING PROVIDED";;;
;"Address to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as country)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as electronicMailAddress)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as facsimileNumber)";"NO MAPPING PROVIDED";;;
;"Address to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"Address to IdentifierSet (as id)";"NO MAPPING PROVIDED";;;
;"Address to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as internalLocation)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as name)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as postalBox)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as postalCode)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as region)";"NO MAPPING PROVIDED";;;
;"Address to ExternalItem (as sameAs)";"NO MAPPING PROVIDED";;;
;"Address to ExternalOwlObject (as sameAs)";"NO MAPPING PROVIDED";;;
;"Address to Proxy (as sameAs)";"NO MAPPING PROVIDED";;;
;"Address to ProxyString (as sameAs)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as street)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as streetNumber)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as telephoneNumber)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as telexNumber)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as town)";"NO MAPPING PROVIDED";;;
;"Address to CharacterString (as url)";"NO MAPPING PROVIDED";;;
"AddressAssignment";;"NO MAPPING PROVIDED";;;
;"AddressAssignment to Address (as assignedAddress)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to Organization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to PersonInOrganization (as assignedTo)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to DescriptorSet (as description)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to TranslatedStringSet (as description)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to Identifier (as id)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to IdentifierSet (as id)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to IdentifierString (as id)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to Class (as role)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to ClassString (as role)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to ExternalClass (as role)";"NO MAPPING PROVIDED";;;
;"AddressAssignment to ExternalOwlClass (as role)";"NO MAPPING PROVIDED";;;
"AssignmentObjectRelationship";;"NO MAPPING PROVIDED";;;
;"AssignmentObjectRelationship to Classification (as classifiedAs)";"NO MAPPING PROVIDED";;;
;"AssignmentObjectRelationship to CharacterString (as description)";"NO MAPPING PROVIDED";;;
;"AssignmentObjectRelationship to Descriptor (as description)";"NO MAPPING PROVIDED";;;
;"AssignmentObjectRelationship to DescriptorSet (as description)";"NO MAPPING PROVIDED";;;
;"AssignmentObjectRelationship to LocalizedString (as description)";"NO MAPPING PROVIDED";;;
;"AssignmentObjectRelationship to TranslatedStringSet (as description)";"NO MAPPING PROVIDED";;;
