BO;Attribute;ARM Element;Source;Rules;Reference path;Remarks;Issues aginast ARM
;ViewContext to DescriptorSet (as description);PATH;;;"View_definition_context
/description_AS_DescriptorSet(View_definition_context)/";;
;ViewContext to LocalizedString (as description);PATH;;;"View_definition_context
/description_AS_LocalizedString(View_definition_context)/";;
;ViewContext to TranslatedStringSet (as description);PATH;;;"View_definition_context
/description_AS_TranslatedStringSet(View_definition_context)/";;
;ViewContext to ExternalItem (as lifeCycleStage);PATH;;;"View_definition_context
/lifeCycleStage_AS_Externaltem(View_definition_context)/";;
;ViewContext to ExternalOwlObject (as lifeCycleStage);PATH;;;"View_definition_context
/lifeCycleStage_AS_ExternalOwlObject(View_definition_context)/";;
;ViewContext to LifeCycleStage (as lifeCycleStage);NO MAPPING;;;;;depends on the solution for Life_cycle_stage
;ViewContext to Proxy (as lifeCycleStage);PATH;;;"View_definition_context
/lifeCycleStage_AS_Proxy(View_definition_context)/";;
;ViewContext to ProxyString (as lifeCycleStage);View_definition_context.life_cycle_stage;442;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
