BO,Attribute,ARM Element,Source,Rules,Reference path
LocalizedString,,Language_indication,,,
,LocalizedString to Language[1] (as language),PATH,,,"Language_indication.translation_language ->
Language.language_code"
,LocalizedString to Language[2] (as language),PATH,,,"Language_indication.translation_language ->
Language.country_code"
,LocalizedString to CharacterString (as text),NO MAPPING,,,
