"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"InformationUsageRightAssignment to ExternalPropertyDefinition (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to File (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to FileRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to GeometricRepresentation (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Identifier (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IdentifierRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IdentifierSet (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IdentifierString (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IndividualAssemblyRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IndividualPart (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IndividualPartTestResult (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IndividualPartVersion (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to IndividualPartView (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to InformationRight (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to InformationUsageRight (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to InformationUsageRightRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Material (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Occurrence (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to OccurrenceRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Organization (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to OrganizationRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Part (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PartRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PartVersion (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PartVersionRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PartView (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PartViewRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Person (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PersonInOrganization (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PersonInOrganizationRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ProcessOperationDefinition (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ProcessOperationOccurrence (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ProcessOperationResourceAssignment (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ProcessPlan (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ProductClass (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ProductConfiguration (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Project (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PropertyDefinition (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PropertyDefinitionAssignment (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PropertyDefinitionString (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PropertyValue (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to PropertyValueAssignment (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Proxy (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Requirement (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to RequirementAssignment (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to RequirementVersion (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to RequirementView (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to RetentionPeriod (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to SecurityClassification (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to SecurityClassificationAssignment (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ShapeElement (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ShapeElementRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Specification (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to SpecificationAssignment (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to SpecificationCategory (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to SpecificationConditionAssignment (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to SpecificationInclusion (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to SpecificationInclusionAssignment (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to StyledModel (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to SuppliedObjectRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to SurfaceCondition (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to ViewOccurrenceRelationship (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to WorkOrder (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to WorkRequest (as isAssignedTo)";"";"";"";""
"";"InformationUsageRightAssignment to Class (as role)";"";"";"";""
"";"InformationUsageRightAssignment to ClassString (as role)";"";"";"";""
"";"InformationUsageRightAssignment to ExternalClass (as role)";"";"";"";""
"";"InformationUsageRightAssignment to ExternalOwlClass (as role)";"";"";"";""
"InformationUsageRightRelationship";"";"";"";"";""
"";"InformationUsageRightRelationship to Classification (as classifiedAs)";"";"";"";""
"";"InformationUsageRightRelationship to CharacterString (as description)";"";"";"";""
"";"InformationUsageRightRelationship to Descriptor (as description)";"";"";"";""
"";"InformationUsageRightRelationship to DescriptorSet (as description)";"";"";"";""
"";"InformationUsageRightRelationship to LocalizedString (as description)";"";"";"";""
"";"InformationUsageRightRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"InformationUsageRightRelationship to Identifier (as id)";"";"";"";""
"";"InformationUsageRightRelationship to IdentifierSet (as id)";"";"";"";""
"";"InformationUsageRightRelationship to IdentifierString (as id)";"";"";"";""
"";"InformationUsageRightRelationship to InformationUsageRight (as related)";"";"";"";""
"";"InformationUsageRightRelationship to InformationUsageRight (as relating)";"";"";"";""
"";"InformationUsageRightRelationship to Class (as relationType)";"";"";"";""
"";"InformationUsageRightRelationship to ClassString (as relationType)";"";"";"";""
"";"InformationUsageRightRelationship to ExternalClass (as relationType)";"";"";"";""
"";"InformationUsageRightRelationship to ExternalOwlClass (as relationType)";"";"";"";""
