"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"Address";"";"";"";"";""
"";"Address to Classification (as classifiedAs)";"";"";"";""
"";"Address to CharacterString (as country)";"";"";"";""
"";"Address to CharacterString (as electronicMailAddress)";"";"";"";""
"";"Address to CharacterString (as facsimileNumber)";"";"";"";""
"";"Address to Identifier (as id)";"";"";"";""
"";"Address to IdentifierSet (as id)";"";"";"";""
"";"Address to IdentifierString (as id)";"";"";"";""
"";"Address to CharacterString (as internalLocation)";"";"";"";""
"";"Address to CharacterString (as name)";"";"";"";""
"";"Address to CharacterString (as postalBox)";"";"";"";""
"";"Address to CharacterString (as postalCode)";"";"";"";""
"";"Address to CharacterString (as region)";"";"";"";""
"";"Address to ExternalItem (as sameAs)";"";"";"";""
"";"Address to ExternalOwlObject (as sameAs)";"";"";"";""
"";"Address to Proxy (as sameAs)";"";"";"";""
"";"Address to ProxyString (as sameAs)";"";"";"";""
"";"Address to CharacterString (as street)";"";"";"";""
"";"Address to CharacterString (as streetNumber)";"";"";"";""
"";"Address to CharacterString (as telephoneNumber)";"";"";"";""
"";"Address to CharacterString (as telexNumber)";"";"";"";""
"";"Address to CharacterString (as town)";"";"";"";""
"";"Address to CharacterString (as url)";"";"";"";""
"AddressAssignment";"";"";"";"";""
"";"AddressAssignment to Address (as assignedAddress)";"";"";"";""
"";"AddressAssignment to Organization (as assignedTo)";"";"";"";""
"";"AddressAssignment to PersonInOrganization (as assignedTo)";"";"";"";""
"";"AddressAssignment to Classification (as classifiedAs)";"";"";"";""
"";"AddressAssignment to CharacterString (as description)";"";"";"";""
"";"AddressAssignment to Descriptor (as description)";"";"";"";""
"";"AddressAssignment to DescriptorSet (as description)";"";"";"";""
"";"AddressAssignment to LocalizedString (as description)";"";"";"";""
"";"AddressAssignment to TranslatedStringSet (as description)";"";"";"";""
"";"AddressAssignment to Identifier (as id)";"";"";"";""
"";"AddressAssignment to IdentifierSet (as id)";"";"";"";""
"";"AddressAssignment to IdentifierString (as id)";"";"";"";""
"";"AddressAssignment to Class (as role)";"";"";"";""
"";"AddressAssignment to ClassString (as role)";"";"";"";""
"";"AddressAssignment to ExternalClass (as role)";"";"";"";""
"";"AddressAssignment to ExternalOwlClass (as role)";"";"";"";""
"AssignmentObjectRelationship";"";"";"";"";""
"";"AssignmentObjectRelationship to Classification (as classifiedAs)";"";"";"";""
"";"AssignmentObjectRelationship to CharacterString (as description)";"";"";"";""
"";"AssignmentObjectRelationship to Descriptor (as description)";"";"";"";""
"";"AssignmentObjectRelationship to DescriptorSet (as description)";"";"";"";""
"";"AssignmentObjectRelationship to LocalizedString (as description)";"";"";"";""
"";"AssignmentObjectRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"AssignmentObjectRelationship to Identifier (as id)";"";"";"";""
"";"AssignmentObjectRelationship to IdentifierSet (as id)";"";"";"";""
"";"AssignmentObjectRelationship to IdentifierString (as id)";"";"";"";""
"";"AssignmentObjectRelationship to ActivityAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to ActivityMethodAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to AddressAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to ApprovalAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to BreakdownVersionAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to CertificationAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to ConditionAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to ContractAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to DateAndPersonAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to DateTimeAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to DocumentAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to EffectivityAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to EventAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to FrozenAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to InformationUsageRightAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to MaterialPropertyAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to ModelPropertyAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to OrganizationOrPersonInOrganizationAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to ProcessOperationResourceAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to ProjectAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to PropertyDefinitionAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to PropertyValueAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to RequirementAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to SecurityClassificationAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to SpecificationAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to SpecificationCategoryAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to SpecificationConditionAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to SpecificationInclusionAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to TimeIntervalAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to WorkOrderAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to WorkRequestAssignment (as related)";"";"";"";""
"";"AssignmentObjectRelationship to ActivityAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to ActivityMethodAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to AddressAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to ApprovalAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to BreakdownVersionAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to CertificationAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to ConditionAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to ContractAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to DateAndPersonAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to DateTimeAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to DocumentAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to EffectivityAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to EventAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to FrozenAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to InformationUsageRightAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to MaterialPropertyAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to ModelPropertyAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to OrganizationOrPersonInOrganizationAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to ProcessOperationResourceAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to ProjectAssignment (as relating)";"";"";"";""
"";"AssignmentObjectRelationship to PropertyDefinitionAssignment (as relating)";"";"";"";""
