"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"AddElement";"";"";"";"";""
"";"AddElement to Activity (as currentDesignObject)";"";"";"";""
"";"AddElement to ActivityAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to ActivityMethod (as currentDesignObject)";"";"";"";""
"";"AddElement to ActivityMethodAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to ActivityRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to AddressAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to AlternatePartRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to AlternativeSolution (as currentDesignObject)";"";"";"";""
"";"AddElement to ApprovalAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to AssemblyOccurrenceRelationshipSubstitution (as currentDesignObject)";"";"";"";""
"";"AddElement to AssemblyViewRelationshipSubstitution (as currentDesignObject)";"";"";"";""
"";"AddElement to AssignmentObjectRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to Breakdown (as currentDesignObject)";"";"";"";""
"";"AddElement to BreakdownElement (as currentDesignObject)";"";"";"";""
"";"AddElement to BreakdownElementRealization (as currentDesignObject)";"";"";"";""
"";"AddElement to BreakdownElementVersion (as currentDesignObject)";"";"";"";""
"";"AddElement to BreakdownElementVersionRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to BreakdownElementView (as currentDesignObject)";"";"";"";""
"";"AddElement to BreakdownElementViewRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to BreakdownVersion (as currentDesignObject)";"";"";"";""
"";"AddElement to BreakdownVersionAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to BreakdownVersionRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to CertificationAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to Class (as currentDesignObject)";"";"";"";""
"";"AddElement to ClassString (as currentDesignObject)";"";"";"";""
"";"AddElement to Condition (as currentDesignObject)";"";"";"";""
"";"AddElement to ConditionAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to ConditionalConfiguration (as currentDesignObject)";"";"";"";""
"";"AddElement to ConfiguredAssemblyEffectivity (as currentDesignObject)";"";"";"";""
"";"AddElement to Contract (as currentDesignObject)";"";"";"";""
"";"AddElement to ContractAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to DateAndPersonAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to DateTimeAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to Document (as currentDesignObject)";"";"";"";""
"";"AddElement to DocumentAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to DocumentDefinition (as currentDesignObject)";"";"";"";""
"";"AddElement to DocumentDefinitionRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to DocumentVersion (as currentDesignObject)";"";"";"";""
"";"AddElement to DocumentVersionRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to Effectivity (as currentDesignObject)";"";"";"";""
"";"AddElement to EffectivityAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to Event (as currentDesignObject)";"";"";"";""
"";"AddElement to EventAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to ExternalClass (as currentDesignObject)";"";"";"";""
"";"AddElement to ExternalOwlClass (as currentDesignObject)";"";"";"";""
"";"AddElement to File (as currentDesignObject)";"";"";"";""
"";"AddElement to FrozenAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to GeometricModel (as currentDesignObject)";"";"";"";""
"";"AddElement to IndividualAssemblyRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to IndividualPart (as currentDesignObject)";"";"";"";""
"";"AddElement to IndividualPartVersion (as currentDesignObject)";"";"";"";""
"";"AddElement to IndividualPartVersionRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to IndividualPartView (as currentDesignObject)";"";"";"";""
"";"AddElement to IndividualPartViewRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to InformationUsageRightAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to MaterialIdentification (as currentDesignObject)";"";"";"";""
"";"AddElement to MaterialPropertyAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to ModelPropertyAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to Occurrence (as currentDesignObject)";"";"";"";""
"";"AddElement to OccurrenceRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to Organization (as currentDesignObject)";"";"";"";""
"";"AddElement to OrganizationOrPersonInOrganizationAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to Part (as currentDesignObject)";"";"";"";""
"";"AddElement to PartVersion (as currentDesignObject)";"";"";"";""
"";"AddElement to PartVersionRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to PartView (as currentDesignObject)";"";"";"";""
"";"AddElement to PartViewRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to Person (as currentDesignObject)";"";"";"";""
"";"AddElement to PersonInOrganization (as currentDesignObject)";"";"";"";""
"";"AddElement to ProcessOperationDefinition (as currentDesignObject)";"";"";"";""
"";"AddElement to ProcessOperationOccurrence (as currentDesignObject)";"";"";"";""
"";"AddElement to ProcessOperationResourceAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to ProcessPlan (as currentDesignObject)";"";"";"";""
"";"AddElement to ProductClass (as currentDesignObject)";"";"";"";""
"";"AddElement to ProductConfiguration (as currentDesignObject)";"";"";"";""
"";"AddElement to Project (as currentDesignObject)";"";"";"";""
"";"AddElement to ProjectAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to ProjectRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to PropertyDefinitionAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to PropertyDefinitionRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to PropertyValue (as currentDesignObject)";"";"";"";""
"";"AddElement to PropertyValueAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to PropertyValueRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to Requirement (as currentDesignObject)";"";"";"";""
"";"AddElement to RequirementAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to RequirementVersion (as currentDesignObject)";"";"";"";""
"";"AddElement to RequirementVersionRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to RequirementView (as currentDesignObject)";"";"";"";""
"";"AddElement to RequirementViewRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to SecurityClassificationAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to Specification (as currentDesignObject)";"";"";"";""
"";"AddElement to SpecificationAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to SpecificationCategory (as currentDesignObject)";"";"";"";""
"";"AddElement to SpecificationCategoryAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to SpecificationConditionAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to SpecificationInclusion (as currentDesignObject)";"";"";"";""
"";"AddElement to SpecificationInclusionAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to StyledModel (as currentDesignObject)";"";"";"";""
"";"AddElement to TimeIntervalAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to ViewOccurrenceRelationship (as currentDesignObject)";"";"";"";""
"";"AddElement to WorkOrderAssignment (as currentDesignObject)";"";"";"";""
"";"AddElement to WorkRequestAssignment (as currentDesignObject)";"";"";"";""
"ChangeElementSequence";"";"";"";"";""
"";"ChangeElementSequence to Classification (as classifiedAs)";"";"";"";""
"";"ChangeElementSequence to CharacterString (as description)";"";"";"";""
"";"ChangeElementSequence to Descriptor (as description)";"";"";"";""
"";"ChangeElementSequence to DescriptorSet (as description)";"";"";"";""
"";"ChangeElementSequence to LocalizedString (as description)";"";"";"";""
"";"ChangeElementSequence to TranslatedStringSet (as description)";"";"";"";""
"";"ChangeElementSequence to DeltaChangeActivity (as related)";"";"";"";""
"";"ChangeElementSequence to DeltaChangeActivity (as relating)";"";"";"";""
"DeleteElement";"";"";"";"";""
"";"DeleteElement to Activity (as previousDesignObject)";"";"";"";""
"";"DeleteElement to ActivityAssignment (as previousDesignObject)";"";"";"";""
"";"DeleteElement to ActivityMethod (as previousDesignObject)";"";"";"";""
"";"DeleteElement to ActivityMethodAssignment (as previousDesignObject)";"";"";"";""
"";"DeleteElement to ActivityRelationship (as previousDesignObject)";"";"";"";""
"";"DeleteElement to AddressAssignment (as previousDesignObject)";"";"";"";""
"";"DeleteElement to AlternatePartRelationship (as previousDesignObject)";"";"";"";""
"";"DeleteElement to AlternativeSolution (as previousDesignObject)";"";"";"";""
"";"DeleteElement to ApprovalAssignment (as previousDesignObject)";"";"";"";""
"";"DeleteElement to AssemblyOccurrenceRelationshipSubstitution (as previousDesignObject)";"";"";"";""
"";"DeleteElement to AssemblyViewRelationshipSubstitution (as previousDesignObject)";"";"";"";""
"";"DeleteElement to AssignmentObjectRelationship (as previousDesignObject)";"";"";"";""
"";"DeleteElement to Breakdown (as previousDesignObject)";"";"";"";""
"";"DeleteElement to BreakdownElement (as previousDesignObject)";"";"";"";""
"";"DeleteElement to BreakdownElementRealization (as previousDesignObject)";"";"";"";""
"";"DeleteElement to BreakdownElementVersion (as previousDesignObject)";"";"";"";""
"";"DeleteElement to BreakdownElementVersionRelationship (as previousDesignObject)";"";"";"";""
"";"DeleteElement to BreakdownElementView (as previousDesignObject)";"";"";"";""
"";"DeleteElement to BreakdownElementViewRelationship (as previousDesignObject)";"";"";"";""
"";"DeleteElement to BreakdownVersion (as previousDesignObject)";"";"";"";""
"";"DeleteElement to BreakdownVersionAssignment (as previousDesignObject)";"";"";"";""
"";"DeleteElement to BreakdownVersionRelationship (as previousDesignObject)";"";"";"";""
"";"DeleteElement to CertificationAssignment (as previousDesignObject)";"";"";"";""
"";"DeleteElement to Class (as previousDesignObject)";"";"";"";""
"";"DeleteElement to ClassString (as previousDesignObject)";"";"";"";""
"";"DeleteElement to Condition (as previousDesignObject)";"";"";"";""
"";"DeleteElement to ConditionAssignment (as previousDesignObject)";"";"";"";""
"";"DeleteElement to ConditionalConfiguration (as previousDesignObject)";"";"";"";""
"";"DeleteElement to ConfiguredAssemblyEffectivity (as previousDesignObject)";"";"";"";""
"";"DeleteElement to Contract (as previousDesignObject)";"";"";"";""
"";"DeleteElement to ContractAssignment (as previousDesignObject)";"";"";"";""
