"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"WorkRequest to ClassString (as scope)";"";"";"";""
"";"WorkRequest to Condition (as scope)";"";"";"";""
"";"WorkRequest to ConditionAssignment (as scope)";"";"";"";""
"";"WorkRequest to ConditionalConfiguration (as scope)";"";"";"";""
"";"WorkRequest to ConfiguredAssemblyEffectivity (as scope)";"";"";"";""
"";"WorkRequest to Contract (as scope)";"";"";"";""
"";"WorkRequest to ContractAssignment (as scope)";"";"";"";""
"";"WorkRequest to DateAndPersonAssignment (as scope)";"";"";"";""
"";"WorkRequest to DateTimeAssignment (as scope)";"";"";"";""
"";"WorkRequest to Document (as scope)";"";"";"";""
"";"WorkRequest to DocumentAssignment (as scope)";"";"";"";""
"";"WorkRequest to DocumentDefinition (as scope)";"";"";"";""
"";"WorkRequest to DocumentDefinitionRelationship (as scope)";"";"";"";""
"";"WorkRequest to DocumentVersion (as scope)";"";"";"";""
"";"WorkRequest to DocumentVersionRelationship (as scope)";"";"";"";""
"";"WorkRequest to Effectivity (as scope)";"";"";"";""
"";"WorkRequest to EffectivityAssignment (as scope)";"";"";"";""
"";"WorkRequest to Event (as scope)";"";"";"";""
"";"WorkRequest to EventAssignment (as scope)";"";"";"";""
"";"WorkRequest to ExternalClass (as scope)";"";"";"";""
"";"WorkRequest to ExternalOwlClass (as scope)";"";"";"";""
"";"WorkRequest to File (as scope)";"";"";"";""
"";"WorkRequest to FrozenAssignment (as scope)";"";"";"";""
"";"WorkRequest to GeometricRepresentation (as scope)";"";"";"";""
"";"WorkRequest to IndividualAssemblyRelationship (as scope)";"";"";"";""
"";"WorkRequest to IndividualPart (as scope)";"";"";"";""
"";"WorkRequest to IndividualPartVersion (as scope)";"";"";"";""
"";"WorkRequest to IndividualPartVersionRelationship (as scope)";"";"";"";""
"";"WorkRequest to IndividualPartView (as scope)";"";"";"";""
"";"WorkRequest to IndividualPartViewRelationship (as scope)";"";"";"";""
"";"WorkRequest to InformationUsageRightAssignment (as scope)";"";"";"";""
"";"WorkRequest to Material (as scope)";"";"";"";""
"";"WorkRequest to MaterialAssignment (as scope)";"";"";"";""
"";"WorkRequest to MaterialPropertyAssignment (as scope)";"";"";"";""
"";"WorkRequest to ModelPropertyAssignment (as scope)";"";"";"";""
"";"WorkRequest to Occurrence (as scope)";"";"";"";""
"";"WorkRequest to OccurrenceRelationship (as scope)";"";"";"";""
"";"WorkRequest to Organization (as scope)";"";"";"";""
"";"WorkRequest to OrganizationOrPersonInOrganizationAssignment (as scope)";"";"";"";""
"";"WorkRequest to Part (as scope)";"";"";"";""
"";"WorkRequest to PartVersion (as scope)";"";"";"";""
"";"WorkRequest to PartVersionRelationship (as scope)";"";"";"";""
"";"WorkRequest to PartView (as scope)";"";"";"";""
"";"WorkRequest to PartViewRelationship (as scope)";"";"";"";""
"";"WorkRequest to Person (as scope)";"";"";"";""
"";"WorkRequest to PersonInOrganization (as scope)";"";"";"";""
"";"WorkRequest to ProcessOperationDefinition (as scope)";"";"";"";""
"";"WorkRequest to ProcessOperationOccurrence (as scope)";"";"";"";""
"";"WorkRequest to ProcessOperationResourceAssignment (as scope)";"";"";"";""
"";"WorkRequest to ProcessPlan (as scope)";"";"";"";""
"";"WorkRequest to ProductClass (as scope)";"";"";"";""
"";"WorkRequest to ProductConfiguration (as scope)";"";"";"";""
"";"WorkRequest to Project (as scope)";"";"";"";""
"";"WorkRequest to ProjectAssignment (as scope)";"";"";"";""
"";"WorkRequest to ProjectRelationship (as scope)";"";"";"";""
"";"WorkRequest to PropertyDefinitionAssignment (as scope)";"";"";"";""
"";"WorkRequest to PropertyDefinitionRelationship (as scope)";"";"";"";""
