"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"AlternativeSolution";"";"";"";"";""
"";"AlternativeSolution to AlternativeSolution (as baseElement)";"";"";"";""
"";"AlternativeSolution to BreakdownElement (as baseElement)";"";"";"";""
"";"AlternativeSolution to Classification (as classifiedAs)";"";"";"";""
"";"AlternativeSolution to CharacterString (as description)";"";"";"";""
"";"AlternativeSolution to Descriptor (as description)";"";"";"";""
"";"AlternativeSolution to DescriptorSet (as description)";"";"";"";""
"";"AlternativeSolution to LocalizedString (as description)";"";"";"";""
"";"AlternativeSolution to TranslatedStringSet (as description)";"";"";"";""
"";"AlternativeSolution to Identifier (as id)";"";"";"";""
"";"AlternativeSolution to IdentifierSet (as id)";"";"";"";""
"";"AlternativeSolution to IdentifierString (as id)";"";"";"";""
"";"AlternativeSolution to CharacterString (as name)";"";"";"";""
"";"AlternativeSolution to Descriptor (as name)";"";"";"";""
"";"AlternativeSolution to DescriptorSet (as name)";"";"";"";""
"";"AlternativeSolution to LocalizedString (as name)";"";"";"";""
"";"AlternativeSolution to TranslatedStringSet (as name)";"";"";"";""
"";"AlternativeSolution to ExternalItem (as sameAs)";"";"";"";""
"";"AlternativeSolution to ExternalOwlObject (as sameAs)";"";"";"";""
"";"AlternativeSolution to Proxy (as sameAs)";"";"";"";""
"";"AlternativeSolution to ProxyString (as sameAs)";"";"";"";""
"";"AlternativeSolution to Identifier (as versionId)";"";"";"";""
"";"AlternativeSolution to IdentifierSet (as versionId)";"";"";"";""
"";"AlternativeSolution to IdentifierString (as versionId)";"";"";"";""
"AlternativeSolutionRelationship";"";"";"";"";""
"";"AlternativeSolutionRelationship to Classification (as classifiedAs)";"";"";"";""
"";"AlternativeSolutionRelationship to CharacterString (as description)";"";"";"";""
"";"AlternativeSolutionRelationship to Descriptor (as description)";"";"";"";""
"";"AlternativeSolutionRelationship to DescriptorSet (as description)";"";"";"";""
"";"AlternativeSolutionRelationship to LocalizedString (as description)";"";"";"";""
"";"AlternativeSolutionRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"AlternativeSolutionRelationship to Identifier (as id)";"";"";"";""
"";"AlternativeSolutionRelationship to IdentifierSet (as id)";"";"";"";""
"";"AlternativeSolutionRelationship to IdentifierString (as id)";"";"";"";""
"";"AlternativeSolutionRelationship to AlternativeSolution (as related)";"";"";"";""
"";"AlternativeSolutionRelationship to AlternativeSolution (as relating)";"";"";"";""
"";"AlternativeSolutionRelationship to Class (as relationType)";"";"";"";""
"";"AlternativeSolutionRelationship to ClassString (as relationType)";"";"";"";""
"";"AlternativeSolutionRelationship to ExternalClass (as relationType)";"";"";"";""
"";"AlternativeSolutionRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"Breakdown";"";"";"";"";""
"";"Breakdown to Class (as breakdownType)";"";"";"";""
"";"Breakdown to ClassString (as breakdownType)";"";"";"";""
"";"Breakdown to ExternalClass (as breakdownType)";"";"";"";""
"";"Breakdown to ExternalOwlClass (as breakdownType)";"";"";"";""
"";"Breakdown to Classification (as classifiedAs)";"";"";"";""
"";"Breakdown to CharacterString (as description)";"";"";"";""
"";"Breakdown to Descriptor (as description)";"";"";"";""
"";"Breakdown to DescriptorSet (as description)";"";"";"";""
"";"Breakdown to LocalizedString (as description)";"";"";"";""
"";"Breakdown to TranslatedStringSet (as description)";"";"";"";""
"";"Breakdown to Identifier (as id)";"";"";"";""
"";"Breakdown to IdentifierSet (as id)";"";"";"";""
"";"Breakdown to IdentifierString (as id)";"";"";"";""
"";"Breakdown to CharacterString (as name)";"";"";"";""
"";"Breakdown to Descriptor (as name)";"";"";"";""
"";"Breakdown to DescriptorSet (as name)";"";"";"";""
"";"Breakdown to LocalizedString (as name)";"";"";"";""
"";"Breakdown to TranslatedStringSet (as name)";"";"";"";""
"";"Breakdown to BreakdownVersion (as versions)";"";"";"";""
"BreakdownContext";"";"";"";"";""
"";"BreakdownContext to BreakdownVersion (as breakdownContext)";"";"";"";""
"";"BreakdownContext to BreakdownElement (as breakdownElement)";"";"";"";""
"";"BreakdownContext to Classification (as classifiedAs)";"";"";"";""
"";"BreakdownContext to CharacterString (as description)";"";"";"";""
"";"BreakdownContext to Descriptor (as description)";"";"";"";""
"";"BreakdownContext to DescriptorSet (as description)";"";"";"";""
"";"BreakdownContext to LocalizedString (as description)";"";"";"";""
"";"BreakdownContext to TranslatedStringSet (as description)";"";"";"";""
"BreakdownElement";"";"";"";"";""
"";"BreakdownElement to Classification (as classifiedAs)";"";"";"";""
"";"BreakdownElement to CharacterString (as description)";"";"";"";""
"";"BreakdownElement to Descriptor (as description)";"";"";"";""
"";"BreakdownElement to DescriptorSet (as description)";"";"";"";""
"";"BreakdownElement to LocalizedString (as description)";"";"";"";""
"";"BreakdownElement to TranslatedStringSet (as description)";"";"";"";""
"";"BreakdownElement to Identifier (as id)";"";"";"";""
"";"BreakdownElement to IdentifierSet (as id)";"";"";"";""
"";"BreakdownElement to IdentifierString (as id)";"";"";"";""
"";"BreakdownElement to CharacterString (as name)";"";"";"";""
"";"BreakdownElement to Descriptor (as name)";"";"";"";""
"";"BreakdownElement to DescriptorSet (as name)";"";"";"";""
"";"BreakdownElement to LocalizedString (as name)";"";"";"";""
"";"BreakdownElement to TranslatedStringSet (as name)";"";"";"";""
"";"BreakdownElement to ExternalItem (as sameAs)";"";"";"";""
"";"BreakdownElement to ExternalOwlObject (as sameAs)";"";"";"";""
"";"BreakdownElement to Proxy (as sameAs)";"";"";"";""
"";"BreakdownElement to ProxyString (as sameAs)";"";"";"";""
"";"BreakdownElement to BreakdownElementVersion (as versions)";"";"";"";""
"BreakdownElementRealization";"";"";"";"";""
"";"BreakdownElementRealization to Classification (as classifiedAs)";"";"";"";""
"";"BreakdownElementRealization to CharacterString (as description)";"";"";"";""
"";"BreakdownElementRealization to Descriptor (as description)";"";"";"";""
"";"BreakdownElementRealization to DescriptorSet (as description)";"";"";"";""
"";"BreakdownElementRealization to LocalizedString (as description)";"";"";"";""
"";"BreakdownElementRealization to TranslatedStringSet (as description)";"";"";"";""
"";"BreakdownElementRealization to Identifier (as id)";"";"";"";""
"";"BreakdownElementRealization to IdentifierSet (as id)";"";"";"";""
"";"BreakdownElementRealization to IdentifierString (as id)";"";"";"";""
"";"BreakdownElementRealization to BreakdownElement (as related)";"";"";"";""
"";"BreakdownElementRealization to Occurrence (as related)";"";"";"";""
"";"BreakdownElementRealization to AlternativeSolution (as relating)";"";"";"";""
"";"BreakdownElementRealization to BreakdownElement (as relating)";"";"";"";""
"";"BreakdownElementRealization to Class (as relationType)";"";"";"";""
"";"BreakdownElementRealization to ClassString (as relationType)";"";"";"";""
"";"BreakdownElementRealization to ExternalClass (as relationType)";"";"";"";""
"";"BreakdownElementRealization to ExternalOwlClass (as relationType)";"";"";"";""
"BreakdownElementRelationship";"";"";"";"";""
"";"BreakdownElementRelationship to Classification (as classifiedAs)";"";"";"";""
"";"BreakdownElementRelationship to CharacterString (as description)";"";"";"";""
"";"BreakdownElementRelationship to Descriptor (as description)";"";"";"";""
"";"BreakdownElementRelationship to DescriptorSet (as description)";"";"";"";""
"";"BreakdownElementRelationship to LocalizedString (as description)";"";"";"";""
"";"BreakdownElementRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"BreakdownElementRelationship to Identifier (as id)";"";"";"";""
"";"BreakdownElementRelationship to IdentifierSet (as id)";"";"";"";""
"";"BreakdownElementRelationship to IdentifierString (as id)";"";"";"";""
"";"BreakdownElementRelationship to BreakdownElement (as related)";"";"";"";""
"";"BreakdownElementRelationship to BreakdownElement (as relating)";"";"";"";""
"";"BreakdownElementRelationship to Class (as relationType)";"";"";"";""
"";"BreakdownElementRelationship to ClassString (as relationType)";"";"";"";""
"";"BreakdownElementRelationship to ExternalClass (as relationType)";"";"";"";""
"";"BreakdownElementRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"BreakdownElementVersion";"";"";"";"";""
"";"BreakdownElementVersion to Classification (as classifiedAs)";"";"";"";""
"";"BreakdownElementVersion to CharacterString (as description)";"";"";"";""
"";"BreakdownElementVersion to Descriptor (as description)";"";"";"";""
"";"BreakdownElementVersion to DescriptorSet (as description)";"";"";"";""
"";"BreakdownElementVersion to LocalizedString (as description)";"";"";"";""
"";"BreakdownElementVersion to TranslatedStringSet (as description)";"";"";"";""
"";"BreakdownElementVersion to Identifier (as id)";"";"";"";""
"";"BreakdownElementVersion to IdentifierSet (as id)";"";"";"";""
"";"BreakdownElementVersion to IdentifierString (as id)";"";"";"";""
"";"BreakdownElementVersion to ExternalItem (as sameAs)";"";"";"";""
"";"BreakdownElementVersion to ExternalOwlObject (as sameAs)";"";"";"";""
"";"BreakdownElementVersion to Proxy (as sameAs)";"";"";"";""
"";"BreakdownElementVersion to ProxyString (as sameAs)";"";"";"";""
"";"BreakdownElementVersion to BreakdownElementView (as views)";"";"";"";""
"BreakdownElementVersionRelationship";"";"";"";"";""
"";"BreakdownElementVersionRelationship to Classification (as classifiedAs)";"";"";"";""
"";"BreakdownElementVersionRelationship to CharacterString (as description)";"";"";"";""
"";"BreakdownElementVersionRelationship to Descriptor (as description)";"";"";"";""
"";"BreakdownElementVersionRelationship to DescriptorSet (as description)";"";"";"";""
"";"BreakdownElementVersionRelationship to LocalizedString (as description)";"";"";"";""
"";"BreakdownElementVersionRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"BreakdownElementVersionRelationship to Identifier (as id)";"";"";"";""
"";"BreakdownElementVersionRelationship to IdentifierSet (as id)";"";"";"";""
"";"BreakdownElementVersionRelationship to IdentifierString (as id)";"";"";"";""
"";"BreakdownElementVersionRelationship to BreakdownElementVersion (as related)";"";"";"";""
