"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"Requirement";"";"";"";"";""
"";"Requirement to Classification (as classifiedAs)";"";"";"";""
"";"Requirement to CharacterString (as description)";"";"";"";""
"";"Requirement to Descriptor (as description)";"";"";"";""
"";"Requirement to DescriptorSet (as description)";"";"";"";""
"";"Requirement to LocalizedString (as description)";"";"";"";""
"";"Requirement to TranslatedStringSet (as description)";"";"";"";""
"";"Requirement to Identifier (as id)";"";"";"";""
"";"Requirement to IdentifierSet (as id)";"";"";"";""
"";"Requirement to IdentifierString (as id)";"";"";"";""
"";"Requirement to CharacterString (as name)";"";"";"";""
"";"Requirement to Descriptor (as name)";"";"";"";""
"";"Requirement to DescriptorSet (as name)";"";"";"";""
"";"Requirement to LocalizedString (as name)";"";"";"";""
"";"Requirement to TranslatedStringSet (as name)";"";"";"";""
"";"Requirement to ExternalItem (as sameAs)";"";"";"";""
"";"Requirement to ExternalOwlObject (as sameAs)";"";"";"";""
"";"Requirement to Proxy (as sameAs)";"";"";"";""
"";"Requirement to ProxyString (as sameAs)";"";"";"";""
"";"Requirement to RequirementVersion (as versions)";"";"";"";""
"RequirementAssignment";"";"";"";"";""
"";"RequirementAssignment to RequirementView (as assignedRequirement)";"";"";"";""
"";"RequirementAssignment to ActivityMethod (as assignedTo)";"";"";"";""
"";"RequirementAssignment to ActivityMethodAssignment (as assignedTo)";"";"";"";""
"";"RequirementAssignment to AlternatePartRelationship (as assignedTo)";"";"";"";""
"";"RequirementAssignment to AlternativeSolution (as assignedTo)";"";"";"";""
"";"RequirementAssignment to AssemblyOccurrenceRelationship (as assignedTo)";"";"";"";""
"";"RequirementAssignment to AssemblyOccurrenceRelationshipSubstitution (as assignedTo)";"";"";"";""
"";"RequirementAssignment to AssemblyViewRelationship (as assignedTo)";"";"";"";""
"";"RequirementAssignment to AssemblyViewRelationshipSubstitution (as assignedTo)";"";"";"";""
"";"RequirementAssignment to Breakdown (as assignedTo)";"";"";"";""
"";"RequirementAssignment to BreakdownElement (as assignedTo)";"";"";"";""
"";"RequirementAssignment to BreakdownElementRealization (as assignedTo)";"";"";"";""
"";"RequirementAssignment to BreakdownElementRelationship (as assignedTo)";"";"";"";""
"";"RequirementAssignment to BreakdownElementVersion (as assignedTo)";"";"";"";""
"";"RequirementAssignment to BreakdownElementView (as assignedTo)";"";"";"";""
"";"RequirementAssignment to BreakdownVersion (as assignedTo)";"";"";"";""
"";"RequirementAssignment to Document (as assignedTo)";"";"";"";""
"";"RequirementAssignment to DocumentDefinition (as assignedTo)";"";"";"";""
