"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"MaterialIdentification to RequirementRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to RequirementSource (as assignedTo)";"";"";"";""
"";"MaterialIdentification to RequirementVersionRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to RequirementView (as assignedTo)";"";"";"";""
"";"MaterialIdentification to RequirementViewRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to SecurityClassificationAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ShapeElement (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ShapeElementRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to Specification (as assignedTo)";"";"";"";""
"";"MaterialIdentification to SpecificationAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to SpecificationCategoryAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to SpecificationConditionAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to SpecificationInclusionAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to TimeIntervalAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to ViewOccurrenceRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to WorkOrder (as assignedTo)";"";"";"";""
"";"MaterialIdentification to WorkOrderAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to WorkRequest (as assignedTo)";"";"";"";""
"";"MaterialIdentification to WorkRequestAssignment (as assignedTo)";"";"";"";""
"";"MaterialIdentification to WorkRequestRelationship (as assignedTo)";"";"";"";""
"";"MaterialIdentification to Classification (as classifiedAs)";"";"";"";""
"";"MaterialIdentification to Identifier (as id)";"";"";"";""
"";"MaterialIdentification to IdentifierSet (as id)";"";"";"";""
"";"MaterialIdentification to IdentifierString (as id)";"";"";"";""
"MaterialPropertyAssignment";"";"";"";"";""
"";"MaterialPropertyAssignment to MaterialPropertyValue (as assignedProperty)";"";"";"";""
"";"MaterialPropertyAssignment to MaterialIdentification (as assignedTo)";"";"";"";""
"";"MaterialPropertyAssignment to Classification (as classifiedAs)";"";"";"";""
"";"definitional";"";"";"";""
"";"MaterialPropertyAssignment to CharacterString (as description)";"";"";"";""
"";"MaterialPropertyAssignment to Descriptor (as description)";"";"";"";""
"";"MaterialPropertyAssignment to DescriptorSet (as description)";"";"";"";""
"";"MaterialPropertyAssignment to LocalizedString (as description)";"";"";"";""
"";"MaterialPropertyAssignment to TranslatedStringSet (as description)";"";"";"";""
"";"MaterialPropertyAssignment to Identifier (as id)";"";"";"";""
"";"MaterialPropertyAssignment to IdentifierSet (as id)";"";"";"";""
"";"MaterialPropertyAssignment to IdentifierString (as id)";"";"";"";""
"";"MaterialPropertyAssignment to Class (as role)";"";"";"";""
"";"MaterialPropertyAssignment to ClassString (as role)";"";"";"";""
"";"MaterialPropertyAssignment to ExternalClass (as role)";"";"";"";""
"";"MaterialPropertyAssignment to ExternalOwlClass (as role)";"";"";"";""
"MaterialPropertyDefinition";"";"";"";"";""
"";"MaterialPropertyDefinition to CharacterString (as name)";"";"";"";""
"";"MaterialPropertyDefinition to Descriptor (as name)";"";"";"";""
"";"MaterialPropertyDefinition to DescriptorSet (as name)";"";"";"";""
"";"MaterialPropertyDefinition to LocalizedString (as name)";"";"";"";""
"";"MaterialPropertyDefinition to TranslatedStringSet (as name)";"";"";"";""
"MaterialPropertyValue";"";"";"";"";""
"";"MaterialPropertyValue to MaterialPropertyDefinition (as definition)";"";"";"";""
"";"MaterialPropertyValue to DataEnvironment (as environmentCondition)";"";"";"";""
"";"MaterialPropertyValue to PropertyValue (as materialValue)";"";"";"";""
