"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"DateAndPersonAssignment";"";"";"";"";""
"";"DateAndPersonAssignment to DateAndPersonOrganization (as assignedDateAndPerson)";"";"";"";""
"";"DateAndPersonAssignment to Activity (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ActivityAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ActivityMethod (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ActivityMethodAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ActivityMethodRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ActivityRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to AddressAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to AlternativeSolution (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to AlternativeSolutionRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Approval (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ApprovalAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ApprovalRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ApprovingPersonOrganization (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to AssemblyOccurrenceRelationshipSubstitution (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to AssemblyViewRelationshipSubstitution (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Breakdown (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to BreakdownElement (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to BreakdownElementRealization (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to BreakdownElementVersion (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to BreakdownElementVersionRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to BreakdownElementView (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to BreakdownElementViewRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to BreakdownVersion (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to BreakdownVersionAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to BreakdownVersionRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Certification (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to CertificationAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Class (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ClassString (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Classification (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Condition (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ConditionAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ConditionalConfiguration (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ConfiguredAssemblyEffectivity (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Contract (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ContractAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to DateAndPersonAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to DateTimeAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Descriptor (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to DescriptorRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Document (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to DocumentAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to DocumentDefinition (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to DocumentDefinitionRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to DocumentVersion (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to DocumentVersionRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Effectivity (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to EffectivityAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Event (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to EventAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ExternalClass (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ExternalClassSystem (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ExternalOwlClass (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ExternalPropertyDefinition (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to File (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to FrozenAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to GeometricRepresentation (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Identifier (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to IdentifierRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to IdentifierSet (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to IdentifierString (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to IndividualAssemblyRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to IndividualPartTestResult (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to IndividualPartVersion (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to IndividualPartVersionRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to IndividualPartView (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to IndividualPartViewRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to InformationUsageRight (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to InformationUsageRightAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to MaterialIdentification (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to MaterialPropertyAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to ModelPropertyAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Occurrence (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to OccurrenceRelationship (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to Organization (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo)";"";"";"";""
"";"DateAndPersonAssignment to OrganizationRelationship (as assignedTo)";"";"";"";""
