"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"ContentProperty";"";"";"";"";""
"";"ContentProperty to CharacterString (as description)";"";"";"";""
"";"ContentProperty to Descriptor (as description)";"";"";"";""
"";"ContentProperty to DescriptorSet (as description)";"";"";"";""
"";"ContentProperty to LocalizedString (as description)";"";"";"";""
"";"ContentProperty to TranslatedStringSet (as description)";"";"";"";""
"";"ContentProperty to CharacterString (as detailLevel)";"";"";"";""
"";"ContentProperty to Descriptor (as detailLevel)";"";"";"";""
"";"ContentProperty to DescriptorSet (as detailLevel)";"";"";"";""
"";"ContentProperty to LocalizedString (as detailLevel)";"";"";"";""
"";"ContentProperty to TranslatedStringSet (as detailLevel)";"";"";"";""
"";"ContentProperty to Classification (as geometryTypes)";"";"";"";""
"";"ContentProperty to Language (as languages)";"";"";"";""
"";"ContentProperty to NumericalValue (as realWorldScale)";"";"";"";""
"CreationProperty";"";"";"";"";""
"";"CreationProperty to CharacterString (as creatingInterface)";"";"";"";""
"";"CreationProperty to CharacterString (as creatingSystem)";"";"";"";""
"";"CreationProperty to CharacterString (as description)";"";"";"";""
"";"CreationProperty to Descriptor (as description)";"";"";"";""
"";"CreationProperty to DescriptorSet (as description)";"";"";"";""
"";"CreationProperty to LocalizedString (as description)";"";"";"";""
"";"CreationProperty to TranslatedStringSet (as description)";"";"";"";""
"";"CreationProperty to CharacterString (as operatingSystem)";"";"";"";""
"DigitalDocumentDefinition";"";"";"";"";""
"";"DigitalDocumentDefinition to DigitalFile (as files)";"";"";"";""
"DigitalFile";"";"";"";"";""
"DocumentDefinition";"";"";"";"";""
"";"DocumentDefinition to Classification (as classifiedAs)";"";"";"";""
"";"DocumentDefinition to CharacterString (as description)";"";"";"";""
"";"DocumentDefinition to Descriptor (as description)";"";"";"";""
"";"DocumentDefinition to DescriptorSet (as description)";"";"";"";""
"";"DocumentDefinition to LocalizedString (as description)";"";"";"";""
"";"DocumentDefinition to TranslatedStringSet (as description)";"";"";"";""
"";"DocumentDefinition to ContentProperty (as documentContent)";"";"";"";""
"";"DocumentDefinition to CreationProperty (as documentCreation)";"";"";"";""
"";"DocumentDefinition to FormatProperty (as documentFormat)";"";"";"";""
"";"DocumentDefinition to SizeProperty (as documentSize)";"";"";"";""
"";"DocumentDefinition to Identifier (as id)";"";"";"";""
"";"DocumentDefinition to IdentifierSet (as id)";"";"";"";""
"";"DocumentDefinition to IdentifierString (as id)";"";"";"";""
"";"DocumentDefinition to CharacterString (as name)";"";"";"";""
"";"DocumentDefinition to Descriptor (as name)";"";"";"";""
"";"DocumentDefinition to DescriptorSet (as name)";"";"";"";""
"";"DocumentDefinition to LocalizedString (as name)";"";"";"";""
"";"DocumentDefinition to TranslatedStringSet (as name)";"";"";"";""
"";"DocumentDefinition to ExternalItem (as sameAs)";"";"";"";""
"";"DocumentDefinition to ExternalOwlObject (as sameAs)";"";"";"";""
"";"DocumentDefinition to Proxy (as sameAs)";"";"";"";""
"";"DocumentDefinition to ProxyString (as sameAs)";"";"";"";""
"DocumentDefinitionRelationship";"";"";"";"";""
"";"DocumentDefinitionRelationship to Classification (as classifiedAs)";"";"";"";""
"";"DocumentDefinitionRelationship to CharacterString (as description)";"";"";"";""
"";"DocumentDefinitionRelationship to Descriptor (as description)";"";"";"";""
"";"DocumentDefinitionRelationship to DescriptorSet (as description)";"";"";"";""
"";"DocumentDefinitionRelationship to LocalizedString (as description)";"";"";"";""
"";"DocumentDefinitionRelationship to TranslatedStringSet (as description)";"";"";"";""
"";"DocumentDefinitionRelationship to Identifier (as id)";"";"";"";""
"";"DocumentDefinitionRelationship to IdentifierSet (as id)";"";"";"";""
"";"DocumentDefinitionRelationship to IdentifierString (as id)";"";"";"";""
"";"DocumentDefinitionRelationship to DocumentDefinition (as related)";"";"";"";""
"";"DocumentDefinitionRelationship to DocumentDefinition (as relating)";"";"";"";""
"";"DocumentDefinitionRelationship to Class (as relationType)";"";"";"";""
"";"DocumentDefinitionRelationship to ClassString (as relationType)";"";"";"";""
"";"DocumentDefinitionRelationship to ExternalClass (as relationType)";"";"";"";""
"";"DocumentDefinitionRelationship to ExternalOwlClass (as relationType)";"";"";"";""
"File";"";"";"";"";""
"";"File to Classification (as classifiedAs)";"";"";"";""
"";"File to CharacterString (as description)";"";"";"";""
"";"File to Descriptor (as description)";"";"";"";""
"";"File to DescriptorSet (as description)";"";"";"";""
"";"File to LocalizedString (as description)";"";"";"";""
"";"File to TranslatedStringSet (as description)";"";"";"";""
"";"File to ContentProperty (as fileContent)";"";"";"";""
"";"File to CreationProperty (as fileCreation)";"";"";"";""
"";"File to FormatProperty (as fileFormat)";"";"";"";""
"";"File to SizeProperty (as fileSize)";"";"";"";""
"";"File to Class (as fileType)";"";"";"";""
"";"File to ClassString (as fileType)";"";"";"";""
"";"File to ExternalClass (as fileType)";"";"";"";""
"";"File to ExternalOwlClass (as fileType)";"";"";"";""
"";"File to Identifier (as id)";"";"";"";""
"";"File to IdentifierSet (as id)";"";"";"";""
"";"File to IdentifierString (as id)";"";"";"";""
"";"File to ExternalItem (as locations)";"";"";"";""
"";"File to Identifier (as versionId)";"";"";"";""
"";"File to IdentifierSet (as versionId)";"";"";"";""
"";"File to IdentifierString (as versionId)";"";"";"";""
"FileRelationship";"";"";"";"";""
"";"FileRelationship to Classification (as classifiedAs)";"";"";"";""
"";"FileRelationship to CharacterString (as description)";"";"";"";""
"";"FileRelationship to Descriptor (as description)";"";"";"";""
