"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"AssemblyDefinition";"";"";"";"";""
"";"AssemblyDefinition to Class (as assemblyType)";"";"";"";""
"";"AssemblyDefinition to ClassString (as assemblyType)";"";"";"";""
"";"AssemblyDefinition to ExternalClass (as assemblyType)";"";"";"";""
"";"AssemblyDefinition to ExternalOwlClass (as assemblyType)";"";"";"";""
"AssemblyOccurrenceRelationship";"";"";"";"";""
"";"AssemblyOccurrenceRelationship to CartesianTransformation (as placement)";"";"";"";""
"";"AssemblyOccurrenceRelationship to GeometricRepresentationRelationshipWithPlacementTransformation (as placement)";"";"";"";""
"";"AssemblyOccurrenceRelationship to AssemblyDefinition (as relating)";"";"";"";""
"AssemblyOccurrenceRelationshipSubstitution";"";"";"";"";""
"";"AssemblyOccurrenceRelationshipSubstitution to Classification (as classifiedAs)";"";"";"";""
"";"AssemblyOccurrenceRelationshipSubstitution to CharacterString (as description)";"";"";"";""
"";"AssemblyOccurrenceRelationshipSubstitution to Descriptor (as description)";"";"";"";""
"";"AssemblyOccurrenceRelationshipSubstitution to DescriptorSet (as description)";"";"";"";""
"";"AssemblyOccurrenceRelationshipSubstitution to LocalizedString (as description)";"";"";"";""
"";"AssemblyOccurrenceRelationshipSubstitution to TranslatedStringSet (as description)";"";"";"";""
"";"AssemblyOccurrenceRelationshipSubstitution to AssemblyOccurrenceRelationship (as related)";"";"";"";""
"";"AssemblyOccurrenceRelationshipSubstitution to AssemblyOccurrenceRelationship (as relating)";"";"";"";""
"AssemblyViewRelationship";"";"";"";"";""
"";"AssemblyViewRelationship to GeometricModel (as definingGeometry)";"";"";"";""
"";"AssemblyViewRelationship to Identifier (as locationIndicator)";"";"";"";""
"";"AssemblyViewRelationship to IdentifierSet (as locationIndicator)";"";"";"";""
"";"AssemblyViewRelationship to IdentifierString (as locationIndicator)";"";"";"";""
"";"AssemblyViewRelationship to ValueWithUnit (as quantity)";"";"";"";""
"";"AssemblyViewRelationship to AssemblyDefinition (as relating)";"";"";"";""
"AssemblyViewRelationshipSubstitution";"";"";"";"";""
"";"AssemblyViewRelationshipSubstitution to Classification (as classifiedAs)";"";"";"";""
"";"AssemblyViewRelationshipSubstitution to CharacterString (as description)";"";"";"";""
"";"AssemblyViewRelationshipSubstitution to Descriptor (as description)";"";"";"";""
"";"AssemblyViewRelationshipSubstitution to DescriptorSet (as description)";"";"";"";""
"";"AssemblyViewRelationshipSubstitution to LocalizedString (as description)";"";"";"";""
"";"AssemblyViewRelationshipSubstitution to TranslatedStringSet (as description)";"";"";"";""
"";"AssemblyViewRelationshipSubstitution to AssemblyViewRelationship (as related)";"";"";"";""
"";"AssemblyViewRelationshipSubstitution to AssemblyViewRelationship (as relating)";"";"";"";""
"CollectedPartRelationship";"";"";"";"";""
"";"CollectedPartRelationship to CollectionDefinition (as relating)";"";"";"";""
"";"CollectedPartRelationship to ClassString (as relationType)";"";"";"";""
"CollectionDefinition";"";"";"";"";""
"";"CollectionDefinition to CharacterString (as purpose)";"";"";"";""
"";"CollectionDefinition to LocalizedString (as purpose)";"";"";"";""
"";"CollectionDefinition to TranslatedStringSet (as purpose)";"";"";"";""
"GeometricalRelationship";"";"";"";"";""
"";"GeometricalRelationship to GeometricRepresentationRelationshipWithPlacementTransformation (as placement)";"";"";"";""
"";"GeometricalRelationship to ClassString (as relationType)";"";"";"";""
"NextAssemblyOccurrenceUsage";"";"";"";"";""
"";"NextAssemblyOccurrenceUsage to ClassString (as relationType)";"";"";"";""
"NextAssemblyViewUsage";"";"";"";"";""
"";"NextAssemblyViewUsage to ClassString (as relationType)";"";"";"";""
"PromissoryAssemblyOccurrenceUsage";"";"";"";"";""
"";"PromissoryAssemblyOccurrenceUsage to ClassString (as relationType)";"";"";"";""
"PromissoryAssemblyViewUsage";"";"";"";"";""
"";"PromissoryAssemblyViewUsage to ClassString (as relationType)";"";"";"";""
"ReplacedPartViewRelationship";"";"";"";"";""
"";"ReplacedPartViewRelationship to ClassString (as relationType)";"";"";"";""
