"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"CentreOfMass";"";"";"";"";""
"";"CentreOfMass to CartesianPoint (as centrePoint)";"";"";"";""
"";"CentreOfMass to GeometricCoordinateSpace (as definedIn)";"";"";"";""
"ExpandedUncertainty";"";"";"";"";""
"";"coverageFactor";"";"";"";""
"ExternalPropertyDefinition";"";"";"";"";""
"";"ExternalPropertyDefinition to ExternalUnit (as allowedUnits)";"";"";"";""
"";"ExternalPropertyDefinition to Unit (as allowedUnits)";"";"";"";""
"";"ExternalPropertyDefinition to Classification (as classifiedAs)";"";"";"";""
"";"ExternalPropertyDefinition to ExternalItem (as definition)";"";"";"";""
"";"ExternalPropertyDefinition to ExternalOwlObject (as definition)";"";"";"";""
"";"ExternalPropertyDefinition to ProxyString (as definition)";"";"";"";""
"";"ExternalPropertyDefinition to ExternalItem (as sameAs)";"";"";"";""
"";"ExternalPropertyDefinition to ExternalOwlObject (as sameAs)";"";"";"";""
"";"ExternalPropertyDefinition to Proxy (as sameAs)";"";"";"";""
"";"ExternalPropertyDefinition to ProxyString (as sameAs)";"";"";"";""
"ExternalTypeQualifier";"";"";"";"";""
"";"ExternalTypeQualifier to ExternalItem (as sameAs)";"";"";"";""
"";"ExternalTypeQualifier to ExternalOwlObject (as sameAs)";"";"";"";""
"";"ExternalTypeQualifier to Proxy (as sameAs)";"";"";"";""
"";"ExternalTypeQualifier to ProxyString (as sameAs)";"";"";"";""
"ExternalUnit";"";"";"";"";""
"";"ExternalUnit to Classification (as classifiedAs)";"";"";"";""
"";"ExternalUnit to ExternalItem (as definition)";"";"";"";""
"";"ExternalUnit to ExternalOwlObject (as definition)";"";"";"";""
"";"ExternalUnit to ProxyString (as definition)";"";"";"";""
"";"ExternalUnit to ExternalItem (as sameAs)";"";"";"";""
"";"ExternalUnit to ExternalOwlObject (as sameAs)";"";"";"";""
"";"ExternalUnit to Proxy (as sameAs)";"";"";"";""
"";"ExternalUnit to ProxyString (as sameAs)";"";"";"";""
"GeneralShapeDependentProperty";"";"";"";"";""
