"BO";"Attribute";"ARM Element";"Source";"Rules";"Reference path"
"";"DocumentAssignment to IndividualPartVersionRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to IndividualPartView (as assignedTo)";"";"";"";""
"";"DocumentAssignment to IndividualPartViewRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to InformationRight (as assignedTo)";"";"";"";""
"";"DocumentAssignment to InformationUsageRight (as assignedTo)";"";"";"";""
"";"DocumentAssignment to InformationUsageRightAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to InformationUsageRightRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Material (as assignedTo)";"";"";"";""
"";"DocumentAssignment to MaterialAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to MaterialPropertyAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ModelPropertyAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Occurrence (as assignedTo)";"";"";"";""
"";"DocumentAssignment to OccurrenceRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Organization (as assignedTo)";"";"";"";""
"";"DocumentAssignment to OrganizationOrPersonInOrganizationAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to OrganizationRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Part (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PartRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PartToIndividualPartAssociation (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PartVersion (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PartVersionRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PartVersionToIndividualPartVersionAssociation (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PartView (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PartViewRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PartViewToIndividualPartViewAssociation (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Person (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PersonInOrganization (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ProcessOperationOccurrence (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ProcessOperationResourceAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ProcessPlan (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ProductConcept (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ProductConfiguration (as assignedTo)";"";"";"";""
"";"DocumentAssignment to Project (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ProjectAssignment (as assignedTo)";"";"";"";""
"";"DocumentAssignment to ProjectRelationship (as assignedTo)";"";"";"";""
"";"DocumentAssignment to PropertyDefinition (as assignedTo)";"";"";"";""
