"";"ActivityAssignmentSelect";"ActivityMethodAssignmentSelect";"AngleSelect";"ApplicationDomainSelect";"ApprovalAssignmentSelect";"ApprovalScopeSelect";"AssemblyDesignSelect";"AssignedDocumentSelect";"AssignmentObjectSelect";"AxisPlacementOrTransformationSelect";"BoundaryClassZoneSelect";"BreakdownElementOrAlternativeSolutionSelect";"BreakdownElementOrOccurrenceSelect";"BreakdownVersionAssignmentSelect";"CertificationAssignmentSelect";"ClassSelect";"ComponentClassForAssemblySelect";"CompositeAssemblyShapeSelect";"ConditionAssignmentSelect";"ConditionParameterSelect";"ConfiguredItemSelect";"ConfiguredSpecificationSelect";"ContractAssignmentSelect";"CoreShapeSelect";"DateTimeAssignmentSelect";"DateTimePersonOrganizationElementSelect";"DeltaChangeRelationshipSelect";"DescriptorSelect";"DocumentAssignmentSelect";"EffectivityAssignmentSelect";"EffectivityContextSelect";"EventOrDateSelect";"ExternalCurveOrSurfaceSelect";"ExternalSourceSelect";"ExternalTrimmedCurveOrSurfaceSelect";"FinalDefinitionSelect";"GeneralOrganizationalDataSelect";"GeometricBoundingCurveSelect";"IdentificationContextSelect";"IdentifierSelect";"InZoneSelect";"InformationUsageRightAssignmentSelect";"LifeCycleStageSelect";"MaterialIdentificationAssignmentSelect";"MeasureActivitySelect";"ModelPropertyValueSelect";"MotionModelSelect";"MultiLingualStringSelect";"OccurrenceDefinitionSelect";"OccurrenceUsageContextSelect";"OrganizationOrPersonInOrganizationSelect";"ParameterSelect";"PartInformationSelect";"PartVersionOrProductConfigurationSelect";"PartViewOrProductConfigurationSelect";"PeriodOrDateSelect";"PhysicalElementSelect";"PlyLaminateShapeSelect";"PointSelect";"ProcessOperationInputOrOutputSelect";"ProcessOperationResourceAssignmentSelect";"ProjectAssignmentSelect";"PropertyAssignmentSelect";"PropertyDefinitionSelect";"PropertyValueSelect";"ProxyItemSelect";"ProxySelect";"RequirementAssignmentSelect";"RequirementSourceSelect";"SecurityClassificationAssignmentSelect";"ShapedElementSelect";"SimpleOrSpatialRotationSelect";"SingleIdentifierSelect";"SuppliedObjectSelect";"ThicknessLaminateTableComponentSelect";"TransformationSelect";"TypeQualifierSelect";"UnitSelect";"ValidityContextSelect";"ValueQualifierSelect";"WorkOrderAssignmentSelect";"WorkRequestAssignmentSelect"
"ActuatedDirectionEnum";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ActuatedPair";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AddElement";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Address";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AddressAssignment";"x";"x";"";"";"x";"";"";"";"x";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AlternatePartRelationship";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AlternativeSolution";"x";"x";"";"";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"x";"";"x";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"x";"";"";"";"x";"";"";"";"";"";"";"";""
"AlternativeSolutionRelationship";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"x";"";"";"x";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AndCondition";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AngleSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ApplicationDomain";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ApplicationDomainSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Approval";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ApprovalAssignment";"x";"x";"";"";"x";"";"";"";"x";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ApprovalAssignmentSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ApprovalRelationship";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ApprovalScopeSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ApprovingPersonOrganization";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AssemblyDefinition";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AssemblyDesignSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AssemblyJoint";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AssemblyOccurrenceRelationship";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";"";"";""
"AssemblyOccurrenceRelationshipSubstitution";"x";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";"";"";""
"AssemblyRealizationContext";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AssemblyViewRelationship";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"x";"";"";"[x, PartInformationSelect]";"";"";"";"";"";"";"";"";"";"";""
"AssemblyViewRelationshipSubstitution";"x";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";"";"";""
"AssignedDocumentSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AssignmentObjectRelationship";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AssignmentObjectSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AxisPlacement";"";"";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AxisPlacementOrTransformationSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BeveledSheetRepresentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BoundaryClassZoneSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BoundaryCurveRepresentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Breakdown";"x";"x";"";"";"x";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"x";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"x";"x";"";"";"";"x";"";"";"";"";"";"";"";"x"
"BreakdownContext";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BreakdownElement";"x";"x";"";"";"x";"";"";"";"";"";"";"x";"x";"";"x";"";"";"";"";"x";"x";"";"x";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"x";"";"";"";"x";"x";"";"";"";"";"";"x";"x";"x";"";"";"";"x";"";"";"";"";"";"";"";"x"
"BreakdownElementOrAlternativeSolutionSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BreakdownElementOrOccurrenceSelect";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BreakdownElementRealization";"x";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";"";"";""
"BreakdownElementRelationship";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"";"";"";"";"";""
"BreakdownElementVersion";"x";"x";"";"";"x";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"x";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"x";"x";"";"";"";"x";"";"";"";"";"";"";"";"x"
"BreakdownElementVersionRelationship";"x";"x";"";"";"x";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"x";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BreakdownElementView";"x";"x";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"x";"x";"";"x";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"x";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"x";"x";"[x, PartInformationSelect]";"";"";"x";"";"";"";"";"";"";"";"x"
"BreakdownElementViewRelationship";"x";"x";"";"";"x";"";"";"";"";"";"";"";"";"";"x";"";"";"";"x";"x";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x"
"BreakdownRelationship";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BreakdownVersion";"x";"x";"";"";"x";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"x";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"x";"";"";"";"x";"";"";"";"";"";"";"";"x"
"BreakdownVersionAssignment";"x";"x";"";"";"x";"";"";"";"x";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"[x, GeneralOrganizationalDataSelect]";"[x, GeneralOrganizationalDataSelect]";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[x, ConditionParameterSelect]";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
